"first_of_month","pay_tag","system","sub_system","hero_id","hero_name","revenue","pearl_revenue","paymentdetail_last_pearl","total_revenue"
2025-03-01,超R,武将,武将,348051,武将,15.112346158122687,0.0,,15.112346158122687
2025-03-01,微R,武将,武将,348064,武将,2.1815373678778416,0.0,,2.1815373678778416
2025-03-01,大R,武将,武将,1022,武田信玄SSR,42.72985048426053,0.0,,42.72985048426053
2025-04-01,,武将,武将,1299,联动-望月千代女UR,0.0,0.0,,0.0
2025-03-01,中R,武将,武将,1204,S11锅岛直茂SSR+,0.0,0.0,,0.0
2025-03-01,非R,武将,武将,1173,S5阿茶局UR,0.0,0.0,,0.0
2025-04-01,大R,其他,通用资源,,,611.2269889476383,1887.4816966571525,,2498.708685604791
2025-04-01,微R,战旗,战旗碎片,,,991.7987857142855,28.444119291428578,,1020.2429050057141
2025-03-01,超R,神器,符文,,,194.3146166392201,131.95144245163664,,326.26605909085674
2025-04-01,中R,武将,超级转盘,,超级转盘,3179.26404,3657.88710454896,8535.06991061424,6837.15114454896
2025-04-01,非R,战旗,战旗碎片,,,299.21434285714287,10.645957001142857,,309.8602998582857
2025-04-01,大R,武将,倍率转盘,,倍率转盘,454.06892999999997,1021.83578640416,437.92962274464014,1475.90471640416
2025-03-01,小R,武将,大名赠礼,,大名赠礼,0.0,0.0,56.81156944221836,0.0
2025-04-01,微R,武将,武将突破,,武将突破,12.504480000000001,0.0,,12.504480000000001
2025-04-01,大R,武将,武将碎片,1312,S35真田幸隆SSR+,89.31771428571429,78.14027222571428,,167.45798651142857
2025-03-01,小R,武将,武将,1161,刚·本多忠胜UR,0.0,0.0,,0.0
2025-04-01,中R,武将,武将,338025,武将,0.0,0.0,,0.0
2025-04-01,中R,旗阵,旗阵招募,,,0.0,2.709485583207921,,2.709485583207921
2025-03-01,非R,活动,活动,,,0.0,0.0,,0.0
2025-03-01,中R,武将,武将,1150,勇·望月千代女SSR,251.0330856811895,0.0,,251.0330856811895
2025-04-01,中R,阵法,阵法,,,2384.729130714235,0.0,,2384.729130714235
2025-04-01,中R,武将,武将,1030,阿初R,767.6146592632114,0.0,,767.6146592632114
2025-03-01,微R,武将,武将,1123,勇·宫本武藏SSR,17.652910612632734,0.0,,17.652910612632734
2025-04-01,微R,武将,武将,1159,刚·丰臣秀吉UR,2.8167803814325576,0.0,,2.8167803814325576
2025-03-01,超R,武将,武将,1120,援·阿初SSR,1021.6545100163044,0.0,,1021.6545100163044
2025-03-01,微R,武将,武将,1072,梵天丸SR,23.406116138280737,0.0,,23.406116138280737
2025-04-01,中R,武将,武将,1059,光·上杉谦信UR,98.28844707999073,0.0,,98.28844707999073
2025-03-01,中R,武将,武将,328060,武将,4437.093385408822,0.0,,4437.093385408822
2025-03-01,微R,武将,武将,1032,石田三成SSR,13.533052994771051,0.0,,13.533052994771051
2025-04-01,大R,化境,化境,,,1538.6722027857577,0.0,,1538.6722027857577
2025-03-01,小R,神武,神武,,,495.8185763629578,0.0,,495.8185763629578
2025-04-01,,武将,武将,1069,长尾景虎SR,1.205624437277709,0.0,,1.205624437277709
2025-04-01,中R,武将,武将,317918,武将,150.44681498869528,0.0,,150.44681498869528
2025-04-01,大R,武将,武将,1166,柔·阿松UR,1214.0797136893489,0.0,,1214.0797136893489
2025-04-01,小R,武将,武将,1283,S26畠山高政SSR+,0.0,0.0,,0.0
2025-04-01,小R,武将,武将,348085,武将,21.80313754831812,0.0,,21.80313754831812
2025-04-01,超R,武将,武将,1315,S36SSR+-诸角虎定,1762.4081104713034,0.0,,1762.4081104713034
2025-03-01,非R,武将,武将,1199,S10足利义昭UR,0.0,0.0,,0.0
2025-03-01,大R,武将,武将,1307,联动-本多忠胜UR,3250.4168374096744,0.0,,3250.4168374096744
2025-04-01,微R,武将,武将,1312,S35真田幸隆SSR+,90.27910255998842,0.0,,90.27910255998842
2025-04-01,超R,武将,武将,1066,佐佐木小次郎SSR,14.411503120630984,0.0,,14.411503120630984
2025-03-01,非R,武将,武将,1214,S14三条之方UR,0.0,0.0,,0.0
2025-04-01,大R,武将,武将,1153,刚·真田幸村UR,312.00760354959726,0.0,,312.00760354959726
2025-04-01,超R,武将,武将,1308,S34蒲生氏乡UR,2046.5745835685984,0.0,,2046.5745835685984
2025-03-01,小R,武将,武将,1307,联动-本多忠胜UR,3.333901071795001,0.0,,3.333901071795001
2025-03-01,微R,武将,武将,1153,刚·真田幸村UR,0.0,0.0,,0.0
2025-04-01,微R,武将,武将,1114,S4风魔小太郎UR,0.0,0.0,,0.0
2025-03-01,大R,武将,武将,1292,S30明智光秀UR,470.9747797755278,0.0,,470.9747797755278
2025-03-01,中R,武将,武将,1164,柔·立花訚千代UR,70.58781696915572,0.0,,70.58781696915572
2025-04-01,非R,武将,武将,1219,S16龙造寺隆信UR,0.0,0.0,,0.0
2025-04-01,微R,武将,武将,1105,TW玉子UR,0.007278593716110049,0.0,,0.007278593716110049
2025-04-01,大R,武将,武将,1050,暗·织田信长UR,450.9964706932521,0.0,,450.9964706932521
2025-04-01,超R,武将,武将,308386,武将,921.7132771050634,0.0,,921.7132771050634
2025-03-01,超R,武将,游园会,,游园会,6893.87613,2055.31863728736,4795.743487003839,8949.19476728736
2025-03-01,大R,武将,武将天赋,,武将天赋,5.359062857142857,35.54832524091429,,40.90738809805715
2025-04-01,小R,神威,铭刻,,,778.740419455917,94.06256118395751,,872.8029806398746
2025-03-01,中R,武将,武将升星,,武将升星,230.1438036809816,36.77717161472393,,266.92097529570555
2025-04-01,非R,武将,武将升级,,武将升级,17.863542857142857,7.308957877714286,,25.17250073485714
2025-04-01,中R,武将,武将碎片,348083,武将碎片,1865.7334682080925,263.88292687283234,,2129.616395080925
2025-04-01,超R,武将,武将,1152,刚·德川家康UR,8.841552948334945,0.0,,8.841552948334945
2025-03-01,微R,武将,武将,1204,S11锅岛直茂SSR+,0.0,0.0,,0.0
2025-04-01,微R,化境,化境,,,160.12729836098856,0.0,,160.12729836098856
2025-03-01,中R,化境,化境,,,1360.5167474784837,531.4252270154498,,1891.9419744939335
2025-03-01,小R,武将,武将,1033,松永久秀R,162.97376223031952,0.0,,162.97376223031952
2025-03-01,中R,武将,武将,1079,阿江SR,188.37442836992417,0.0,,188.37442836992417
2025-03-01,中R,武将,武将,1211,刚·最上义光UR,1002.5129632050202,0.0,,1002.5129632050202
2025-03-01,微R,武将,武将,1152,刚·德川家康UR,210.95435903243973,0.0,,210.95435903243973
2025-03-01,大R,国宝,国宝,,,7396.054042765333,32.803083058064516,,7428.857125823398
2025-03-01,中R,武将,武将,1058,光·丰臣秀吉UR,101.47090599420332,0.0,,101.47090599420332
2025-04-01,大R,武将,武将,1123,勇·宫本武藏SSR,125.60144235503317,0.0,,125.60144235503317
2025-03-01,微R,武将,武将,1143,勇·本多忠胜SSR+,37.24213393600791,0.0,,37.24213393600791
2025-04-01,大R,阵法,阵法,,,2263.8972449716484,0.0,,2263.8972449716484
2025-04-01,中R,神武,神武,,,1691.8919957226794,0.0,,1691.8919957226794
2025-04-01,中R,武将,武将,1079,阿江SR,171.69068860117878,0.0,,171.69068860117878
2025-04-01,微R,武将,武将,1152,刚·德川家康UR,49.132000297193045,0.0,,49.132000297193045
2025-03-01,微R,武将,武将,1093,光·井伊直虎UR,20.168805199587513,0.0,,20.168805199587513
2025-03-01,中R,武将,武将,1144,援·阿国SSR+,875.9186247321321,0.0,,875.9186247321321
2025-03-01,超R,神武,神武,,,14020.949761844216,0.0,,14020.949761844216
2025-04-01,中R,武将,武将,1121,谋·织田信长SSR+,196.31509847157494,0.0,,196.31509847157494
2025-03-01,大R,武将,武将,1016,真田幸村SSR+,280.8651485324747,0.0,,280.8651485324747
2025-03-01,小R,武将,武将,328060,武将,1225.113925935079,0.0,,1225.113925935079
2025-03-01,非R,武将,武将,1142,柔·玉子UR,0.0,0.0,,0.0
2025-04-01,非R,武将,武将,1209,S13大友宗麟UR,0.02408620887510089,0.0,,0.02408620887510089
2025-03-01,中R,武将,武将,1039,柴田胜家SSR,59.68862586154017,0.0,,59.68862586154017
2025-03-01,中R,武将,武将,1111,S3柴田胜家SSR+,0.0,0.0,,0.0
2025-04-01,,武将,武将,1138,勇·柴田胜家SSR,0.005943599002275883,0.0,,0.005943599002275883
2025-03-01,非R,武将,武将,1167,刚·岛津义久UR,0.0,0.0,,0.0
2025-03-01,超R,武将,武将,1040,阿国SSR+,227.43791151644692,0.0,,227.43791151644692
2025-03-01,小R,武将,武将,1167,刚·岛津义久UR,221.36343685026569,0.0,,221.36343685026569
2025-04-01,中R,武将,武将,1202,S11太原雪斋UR,0.0,0.0,,0.0
2025-04-01,大R,武将,武将,308384,武将,8.456353554063007,0.0,,8.456353554063007
2025-03-01,小R,武将,武将,1158,刚·上杉谦信UR,0.0,0.0,,0.0
2025-03-01,中R,金币,金币,,,0.0,0.0,41799.64955081027,0.0
2025-03-01,微R,武将,武将碎片,,武将碎片,1786.3542857142859,0.0,,1786.3542857142859
2025-03-01,大R,武将,武将碎片,,武将碎片,622.7309084604716,249.5733715232143,,872.3042799836859
2025-04-01,非R,武将,升级突破,,升级突破,207.63535436287532,0.0,,207.63535436287532
2025-03-01,中R,神威,铭刻,,,528.0421506140918,222.19361126184873,,750.2357618759406
2025-04-01,小R,武将,武将碎片,1009,丰臣秀吉SSR+,44.658857142857144,0.0,,44.658857142857144
2025-04-01,非R,武将,武将,1213,S14爱姬UR,0.0,0.0,,0.0
2025-03-01,小R,武将,武将,1257,S18吉川元春UR,0.0,0.0,,0.0
2025-03-01,中R,武将,武将碎片,1015,德川家康SSR+,44.658857142857144,0.0,,44.658857142857144
2025-04-01,非R,武将,武将,1028,真田信幸SR,8.638281152789029,0.0,,8.638281152789029
2025-03-01,非R,武将,武将,1037,本愿寺显如R,0.0,0.0,,0.0
2025-03-01,非R,武将,武将,1070,明智光秀SR,0.0,0.0,,0.0
2025-03-01,微R,武将,武将,1076,浅井长政SR,21.535644378038864,0.0,,21.535644378038864
2025-04-01,大R,武将,武将,1074,毛利元就SR,122.20872284373674,0.0,,122.20872284373674
2025-04-01,中R,武将,武将,1044,黑田官兵卫SR,170.36042292231917,0.0,,170.36042292231917
2025-03-01,小R,其他,其他,,,12467.635189389755,446.566242,,12914.201431389756
2025-03-01,非R,武将,武将,1174,S5斋藤道三SSR+,0.0,0.0,,0.0
2025-03-01,非R,武将,武将,1138,勇·柴田胜家SSR,0.0,0.0,,0.0
2025-04-01,中R,武将,武将,348013,武将,207.3948707152751,0.0,,207.3948707152751
2025-03-01,微R,化境,化境,,,319.67618306731356,19.54224079148936,,339.2184238588029
2025-03-01,中R,武将,武将,1139,勇·浅井长政SSR,277.1224202738252,0.0,,277.1224202738252
2025-03-01,微R,武将,武将,1008,织田信长SSR+,26.472653439066153,0.0,,26.472653439066153
2025-03-01,中R,武将,武将,1135,谋·明智光秀SSR,229.64355665128645,0.0,,229.64355665128645
2025-03-01,中R,武将,武将,1045,足利义辉SSR,76.54913848336925,0.0,,76.54913848336925
2025-03-01,小R,武将,武将,1105,TW玉子UR,0.46445643151883015,0.0,,0.46445643151883015
2025-03-01,微R,武将,武将,1133,勇·真田幸村SSR+,12.307107657767212,0.0,,12.307107657767212
