month,count,mean,std,min,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,max
2024-06-01,30.0,0.061963194356560544,0.008257580452514728,0.04434250764525994,0.04434250764525994,0.05282794153620352,0.05617072169332892,0.058039245076028166,0.06002009890252032,0.061429544721473536,0.06352466388185077,0.06663601111051279,0.06930053903518944,0.07118554219343545,0.08135215453194651
2024-07-01,31.0,0.06485673051571067,0.009672020464038865,0.048355899419729204,0.048355899419729204,0.056112224448897796,0.05854049719326383,0.06014465169394747,0.0613618368962787,0.06192199437072778,0.06455493183640738,0.06680080482897384,0.07321848081440877,0.0800942285041225,0.08309915696507426
2024-08-01,31.0,0.0629317960682797,0.012170834921214381,0.03810669875651825,0.03810669875651825,0.050061551087402546,0.054221533694810226,0.057494866529774126,0.060397243615727604,0.061569416498993966,0.06255077173030058,0.06443914081145585,0.06988148753575807,0.084765625,0.0909456740442656
2024-09-01,30.0,0.06495807208316565,0.012435849660912676,0.03928123694107814,0.03928123694107814,0.04883951056020881,0.054195198668404596,0.057461606364259406,0.06416892192411781,0.06740130467382666,0.07015985744134305,0.07194029880707352,0.07473087158252989,0.07969812105088128,0.08397565922920892
2024-10-01,31.0,0.05915495745775463,0.007733708241497646,0.04210956663941128,0.04210956663941128,0.05188488042156465,0.054567502021018593,0.05715443858937981,0.05848670756646217,0.060129136400322844,0.06079151366789066,0.06150061500615006,0.06366152629497825,0.06669361358124495,0.07918367346938776
2024-11-01,30.0,0.05533330426544363,0.011599996617015893,0.03315375051802735,0.03315375051802735,0.041965596417241395,0.04446369243819138,0.04610917799934482,0.05379782353897981,0.05565814001396824,0.05999998309067037,0.06182424508797206,0.06381378302572048,0.06853812316715542,0.08340248962655601
2024-12-01,31.0,0.04999233446672755,0.007470020839374871,0.0369257191927866,0.0369257191927866,0.04142011834319527,0.0453781512605042,0.04588744588744589,0.04638058084091894,0.0496215306980656,0.05031712473572939,0.05471779405428694,0.055996656916005014,0.06013071895424837,0.06892123287671233
2025-01-01,31.0,0.04523768438735956,0.011518192581835866,0.02750322303394929,0.02750322303394929,0.03356582388840453,0.03511777301927195,0.037694974003466206,0.03998316498316498,0.04535729567821994,0.048346055979643775,0.05131414267834793,0.051694915254237285,0.05358649789029536,0.08410041841004184
2025-02-01,28.0,0.04206556904281616,0.009501504175475331,0.02681992337164751,0.02681992337164751,0.03126509378862584,0.0329244380452595,0.035682846932698034,0.03772036472975515,0.041283629110854245,0.04493825505327152,0.047285521123651315,0.05079092007287669,0.05366026470295552,0.06462442299622324
2025-03-01,31.0,0.04133307593536227,0.0064737935780444684,0.03125,0.03125,0.034105815478793176,0.0367094206103494,0.038074398249452954,0.03917348256564787,0.03956521739130435,0.040671971706454466,0.04407836153161175,0.04659498207885305,0.047872340425531915,0.05748135146994296
2025-04-01,30.0,0.045583165375879246,0.01687961434466137,0.026636568848758466,0.026636568848758466,0.03020050137981553,0.03175217555337206,0.03398480551560475,0.03546855464844851,0.04078924515932782,0.04450621621038074,0.04950505255108582,0.06034213961452482,0.071060171222092,0.09266943291839558
