group_col,month,count,mean,std,min,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,max
4周年庆典自选礼包,2024-10-01,18.0,0.17173915240701662,0.048792637709689696,0.09352517985611511,0.09352517985611511,0.12363297564736876,0.13289380739345422,0.14515466563984084,0.1574682046731736,0.16451532311792139,0.16856640043319343,0.19020080321285138,0.20726291252607043,0.24025974025974026,0.2838709677419355,0.2838709677419355
4周年庆典自选礼包,2024-11-01,2.0,0.1522183693429359,0.010310795066648325,0.14492753623188406,0.14492753623188406,0.14638570285409444,0.1478438694763048,0.14930203609851517,0.15076020272072552,0.1522183693429359,0.15367653596514627,0.15513470258735662,0.156592869209567,0.15805103583177735,0.15950920245398773,0.15950920245398773
4周年庆典自选礼包,2024-12-01,5.0,0.32667319182389937,0.044775231553696365,0.26666666666666666,0.26666666666666666,0.2807547169811321,0.2948427672955975,0.30750943396226416,0.31875471698113206,0.33,0.3388,0.34759999999999996,0.3581625,0.37048749999999997,0.3828125,0.3828125
4周年庆典自选礼包,2025-01-01,11.0,0.1776352584253196,0.023106548896044056,0.136986301369863,0.136986301369863,0.14814814814814814,0.16022099447513813,0.16666666666666666,0.17293233082706766,0.17543859649122806,0.19117647058823528,0.19548872180451127,0.1981981981981982,0.2018348623853211,0.20689655172413793,0.20689655172413793
4周年庆典自选礼包,2025-03-01,13.0,0.21809198449320133,0.04968135623904742,0.13636363636363635,0.13636363636363635,0.16188442546376616,0.17075731387235132,0.18782378521459636,0.19875968992248064,0.2231404958677686,0.2337662337662338,0.2572317772317772,0.2626863226863227,0.2709090909090909,0.29591836734693877,0.29591836734693877
4周年庆典自选礼包,2025-04-01,3.0,0.12888214764310013,0.04490466968506279,0.07865168539325842,0.07865168539325842,0.09149277688603531,0.1043338683788122,0.11717495987158909,0.13001605136436598,0.14285714285714285,0.14731323722149411,0.15176933158584535,0.1562254259501966,0.16068152031454785,0.1651376146788991,0.1651376146788991
6周年礼包,2024-10-01,22.0,0.12727169473485334,0.035914409648662694,0.07894736842105263,0.07894736842105263,0.09038792749938489,0.09833024118738405,0.105759682224429,0.10793045600122007,0.1142792691179788,0.1286676987523905,0.14529616724738675,0.15713850837138507,0.17318840579710146,0.22033898305084745,0.22033898305084745
6周年礼包,2024-11-01,3.0,0.14376417789741802,0.03888222106720315,0.10628019323671498,0.10628019323671498,0.1132450134850775,0.12020983373344002,0.12717465398180255,0.13413947423016506,0.1411042944785276,0.1496650447782244,0.15822579507792114,0.16678654537761795,0.17534729567731472,0.1839080459770115,0.1839080459770115
6周年礼包,2024-12-01,6.0,0.2553254425809457,0.0925570193595164,0.1509433962264151,0.1509433962264151,0.15947169811320755,0.168,0.19728125000000002,0.2265625,0.24291087962962962,0.2592592592592593,0.3096296296296296,0.36,0.36359375,0.3671875,0.3671875
6周年礼包,2025-01-01,14.0,0.1508090476085989,0.04724656009746214,0.0821917808219178,0.0821917808219178,0.12046408839779005,0.1226928586044608,0.13415019029054118,0.13585688358828105,0.13914095583787053,0.14550136809914696,0.1471416735708368,0.15720086283466567,0.21700020631318348,0.265625,0.265625
6周年礼包,2025-03-01,16.0,0.3014466244129617,0.10554601912967368,0.14634146341463414,0.14634146341463414,0.18368002054442734,0.19008264462809918,0.225697924123121,0.2818181818181818,0.3006802721088435,0.3255813953488373,0.36220940602889584,0.37272727272727274,0.4219389844389845,0.5181818181818182,0.5181818181818182
6周年礼包,2025-04-01,4.0,0.16981361578086382,0.05316175443533038,0.10112359550561797,0.10112359550561797,0.11868567651779813,0.13624775752997828,0.15380983854215843,0.1662632025287179,0.17616220800246704,0.18606121347621618,0.19597514057413434,0.20591891092039066,0.21586268126664693,0.22580645161290322,0.22580645161290322
battlepass,2024-06-01,30.0,0.026467946834452853,0.015037421665613275,0.005813953488372093,0.005813953488372093,0.010487305487305488,0.01206383360229514,0.01665164082221421,0.019005384859043396,0.022063577586206896,0.02974137931034483,0.03316888045540796,0.04031398934679002,0.046761957119296316,0.06493506493506493,0.06493506493506493
battlepass,2024-07-01,27.0,0.06136716701380188,0.06855348387587204,0.004694835680751174,0.004694835680751174,0.016829268292682928,0.01934782608695652,0.029074044458659843,0.03442265795206972,0.03821656050955414,0.04549609317411175,0.0532759115704852,0.06466793168880455,0.13786523553965438,0.2966507177033493,0.2966507177033493
battlepass,2024-08-01,29.0,0.0260139332914571,0.018306352257315,0.004424778761061947,0.004424778761061947,0.006318400700423173,0.01439292690449265,0.01833757294628161,0.01941146102219928,0.02242152466367713,0.023990419161676647,0.028952651832022752,0.03277616546049007,0.04261885329524587,0.0821917808219178,0.0821917808219178
battlepass,2024-09-01,23.0,0.06479512696775448,0.07504695319369699,0.00684931506849315,0.00684931506849315,0.011574136308643634,0.026388721532714786,0.0324109846507257,0.04182486221677894,0.04597701149425287,0.05338795016214372,0.05736263736263736,0.06409749670619237,0.12349874040658508,0.3532608695652174,0.3532608695652174
battlepass,2024-10-01,31.0,0.0251859668614234,0.020436469485386265,0.007194244604316547,0.007194244604316547,0.012048192771084338,0.012987012987012988,0.01360544217687075,0.015037593984962405,0.02030456852791878,0.02150537634408603,0.02531645569620253,0.028089887640449437,0.041666666666666664,0.10344827586206896,0.10344827586206896
battlepass,2024-11-01,28.0,0.053904251202537175,0.06511176233771884,0.00625,0.00625,0.015837916713435853,0.0221,0.024600283343452743,0.027856325783573554,0.03337041156840934,0.04305148039477194,0.05529138131541542,0.06251796493245186,0.0873448275862069,0.32903225806451614,0.32903225806451614
battlepass,2024-12-01,29.0,0.0385206171071305,0.03573613066848263,0.006756756756756757,0.006756756756756757,0.009515151515151516,0.019662509170946443,0.02412539308176101,0.028938742497126562,0.03125,0.033066666666666675,0.0401973401973402,0.05001212121212122,0.056640670469095565,0.1987179487179487,0.1987179487179487
battlepass,2025-01-01,27.0,0.06593646592018243,0.06943945835900701,0.010309278350515464,0.010309278350515464,0.026495817007307,0.03125,0.03440761203192143,0.037259816207184625,0.041379310344827586,0.0491926752341948,0.06427937259544245,0.07285199190924281,0.1084455324357406,0.34328358208955223,0.34328358208955223
battlepass,2025-02-01,26.0,0.03671952425635008,0.03477300683567903,0.008264462809917356,0.008264462809917356,0.012974551522736754,0.017241379310344827,0.02098004694835681,0.022388059701492536,0.025833333333333333,0.029126213592233018,0.03529900332225913,0.04666666666666667,0.06429883649724433,0.18243243243243243,0.18243243243243243
battlepass,2025-03-01,30.0,0.037425522633077746,0.023254996792535967,0.007575757575757576,0.007575757575757576,0.01491841491841492,0.017695060844667144,0.020451127819548876,0.023898589448828687,0.031027667984189725,0.03705627705627706,0.049400578751550225,0.06221180880974696,0.0719047619047619,0.08264462809917356,0.08264462809917356
battlepass,2025-04-01,25.0,0.06156483544978077,0.09378442055969899,0.0055248618784530384,0.0055248618784530384,0.012538275584206286,0.016336419486025787,0.019896800825593395,0.028146047500886225,0.03488372093023256,0.041094956837801004,0.05302546129265021,0.07009966777408638,0.07432795698924732,0.42342342342342343,0.42342342342342343
