act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250211-20250213-3,非R,抽奖渠道,购买,,7,316.0,14
20241128-20241130-3,未活跃,抽奖渠道,玩家付费,,138,2115.0,874
20241211-20241213-3,大R,抽奖渠道,出生获得,,32,4290.0,278
20250522-20250524-3,未活跃,抽奖每日渠道,出生获得,2025-05-24,9,540.0,34
20250114-20250116-3,未活跃,抽奖每日渠道,玩家付费,2025-01-14,63,455.0,187
20250412-20250414-3,微R,抽奖每日渠道,出生获得,2025-04-13,92,3710.0,228
20250412-20250414-3,中R,抽奖每日渠道,玩家付费,2025-04-13,142,1602.0,702
20250219-20250221-3,中R,抽奖每日渠道,出生获得,2025-02-21,72,3900.0,267
20250125-20250127-3,微R,抽奖每日渠道,出生获得,2025-01-26,98,4150.0,262
20250405-20250407-3,中R,抽奖每日渠道,玩家付费,2025-04-06,141,1580.0,645
20241211-20241213-3,小R,抽奖每日渠道,玩家付费,2024-12-12,147,1375.0,593
20250125-20250127-3,超R,抽奖每日渠道,出生获得,2025-01-25,11,1050.0,63
20250125-20250127-3,超R,抽奖每日渠道,购买,2025-01-25,7,2456.0,36
20250114-20250116-3,大R,抽奖每日渠道,购买,2025-01-15,6,1168.0,42
20250125-20250127-3,非R,直购礼包礼包聚合1,神武锻造-购买档位3,,1,614.8036,1
20250101-20250103-3,中R,直购礼包礼包聚合1,神武锻造-购买档位3,,4,10496.8576,17
20250211-20250213-3,大R,直购礼包礼包聚合2,大R,,22,20975.837600000003,155
20250506-20250508-3,大R,直购礼包礼包聚合2,大R,,16,7657.9767,97
20250101-20250103-3,小R,直购礼包礼包聚合2,小R,,10,4351.388099999999,31
20250101-20250103-3,超R,直购礼包礼包聚合2,超R,,6,2353.0283000000004,20
20250219-20250221-3,中R,直购礼包礼包聚合2,中R,,21,13835.415799999992,134
20250125-20250127-3,非R,抽奖渠道,出生获得,,666,52430.0,3220
20250125-20250127-3,大R,抽奖渠道,购买,,25,8276.0,165
20250303-20250305-3,非R,抽奖渠道,购买,,5,120.0,10
20250114-20250116-3,中R,抽奖每日渠道,购买,2025-01-16,15,804.0,52
20250211-20250213-3,小R,抽奖每日渠道,出生获得,2025-02-12,49,2070.0,128
20250303-20250305-3,未活跃,抽奖每日渠道,玩家付费,2025-03-03,18,129.0,52
20250522-20250524-3,大R,抽奖每日渠道,出生获得,2025-05-24,20,1420.0,93
20250412-20250414-3,非R,抽奖每日渠道,出生获得,2025-04-13,286,10560.0,629
20250219-20250221-3,大R,抽奖每日渠道,出生获得,2025-02-19,26,2570.0,166
20250219-20250221-3,小R,抽奖每日渠道,出生获得,2025-02-19,68,4650.0,271
20250506-20250508-3,超R,抽奖每日渠道,玩家付费,2025-05-06,17,197.0,76
20250303-20250305-3,微R,抽奖每日渠道,购买,2025-03-05,2,36.0,3
20241211-20241213-3,微R,抽奖每日渠道,购买,2024-12-13,3,60.0,5
20250311-20250313-3,小R,直购礼包礼包聚合1,神武锻造-购买档位3,,1,614.8036,1
20250125-20250127-3,中R,直购礼包礼包聚合1,神武锻造-购买档位4,,2,122.5224,2
20250125-20250127-3,小R,直购礼包礼包聚合1,神武锻造-购买档位3,,1,660.0,1
20250311-20250313-3,大R,直购礼包礼包聚合2,大R,,18,8618.2965,68
20250327-20250329-3,大R,抽奖渠道,玩家付费,,34,1094.0,463
20250125-20250127-3,超R,抽奖渠道,出生获得,,15,1830.0,117
20250114-20250116-3,未活跃,抽奖渠道,购买,,1,12.0,1
20250219-20250221-3,中R,抽奖每日渠道,出生获得,2025-02-20,61,2810.0,183
20250303-20250305-3,微R,抽奖每日渠道,购买,2025-03-04,1,12.0,1
20241223-20241225-3,小R,抽奖每日渠道,玩家付费,2024-12-23,148,1428.0,604
20241128-20241130-3,中R,抽奖每日渠道,玩家付费,2024-11-29,134,1460.0,632
20250319-20250321-3,中R,抽奖每日渠道,出生获得,2025-03-21,63,2870.0,196
20250506-20250508-3,超R,抽奖每日渠道,出生获得,2025-05-07,4,220.0,11
20250125-20250127-3,超R,抽奖每日渠道,玩家付费,2025-01-26,17,209.0,81
20241211-20241213-3,微R,抽奖每日渠道,玩家付费,2024-12-13,239,2170.0,922
20250101-20250103-3,未活跃,抽奖每日渠道,出生获得,2025-01-03,15,390.0,25
20241211-20241213-3,未活跃,抽奖每日渠道,玩家付费,2024-12-11,86,659.0,287
20241211-20241213-3,中R,抽奖每日渠道,购买,2024-12-11,23,3040.0,91
20241211-20241213-3,非R,抽奖每日渠道,购买,2024-12-11,3,392.0,12
20250211-20250213-3,中R,直购礼包礼包聚合1,神武锻造-购买档位3,,2,7377.643200000001,12
20250219-20250221-3,小R,直购礼包礼包聚合1,神武锻造-购买档位2,,1,125.0448,1
20250327-20250329-3,超R,直购礼包礼包聚合1,神武锻造-购买档位1,,6,1550.9303999999997,48
20250522-20250524-3,超R,直购礼包礼包聚合1,神武锻造-购买档位3,,2,7260.0,11
20241128-20241130-3,中R,直购礼包礼包聚合1,神武锻造-购买档位4,,2,120.0,2
20250319-20250321-3,小R,直购礼包礼包聚合1,神武锻造-购买档位2,,1,125.0448,1
20250412-20250414-3,微R,直购礼包礼包聚合1,神武锻造-购买档位1,,1,67.7326,2
20250412-20250414-3,中R,直购礼包礼包聚合2,中R,,17,3954.4231999999993,54
20250405-20250407-3,小R,抽奖渠道,玩家付费,,159,4177.0,1805
20250319-20250321-3,中R,抽奖渠道,出生获得,,105,10390.0,660
20250125-20250127-3,中R,抽奖渠道,购买,,37,6144.0,239
20241211-20241213-3,未活跃,抽奖渠道,玩家付费,,121,1800.0,758
20250311-20250313-3,非R,抽奖渠道,出生获得,,533,32660.0,1982
20250412-20250414-3,微R,抽奖渠道,玩家付费,,272,6840.0,3077
20250412-20250414-3,小R,抽奖渠道,购买,,4,300.0,6
20250211-20250213-3,微R,抽奖渠道,购买,,1,12.0,1
20250522-20250524-3,微R,抽奖渠道,出生获得,,145,10590.0,633
20250319-20250321-3,超R,抽奖每日渠道,玩家付费,2025-03-19,16,183.0,71
20250311-20250313-3,超R,抽奖每日渠道,玩家付费,2025-03-13,17,199.0,75
20241223-20241225-3,未活跃,抽奖每日渠道,购买,2024-12-23,1,252.0,7
