act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250223-20250226-4,超R,抽奖每日渠道,玩家付费,2025-02-26,17,95.0,41
20241127-20241201-5,非R,抽奖每日渠道,玩家付费,2024-11-28,1422,4235.0,2431
20241127-20241201-5,微R,抽奖每日渠道,玩家付费,2024-11-27,256,756.0,459
20250223-20250226-4,小R,抽奖渠道,玩家付费,,157,2151.0,1276
20250223-20250226-4,超R,抽奖渠道,引导奖励,,14,916.0,140
20241127-20241201-5,超R,pprid_reward_type,164_1,抽奖自选包,7,35.0,7
20250121-20250124-4,大R,pprid_reward_type,164_2,2024信物,7,28.0,7
20241219-20241222-4,小R,pprid_reward_type,160_3,2024信物,3,12.0,3
20250325-20250328-4,微R,pprid_reward_type,160_1,UR招募令,26,26.0,26
20250223-20250226-4,小R,pprid_reward_type,164_3,赛季橙色装备自选箱,1,1.0,1
20250514-20250517-4,中R,兑换奖励内容,2024信物,,81,637000.0,797
20250223-20250226-4,超R,兑换奖励内容,2024信物,,9,83500.0,106
20250409-20250411-3,超R,兑换奖励内容,2025元旦S3-S29赛季UR整卡自选,,1,3.0,1
20250328-20250331-4,非R,兑换奖励内容,5阶防御符文自选箱,,1,1.0,1
20250502-20250505-4,超R,直购礼包礼包聚合1,2025情人节-巧克力礼包2,,7,5220.537599999998,43
20241127-20241201-5,非R,直购礼包礼包聚合1,2024情人节史诗礼包19.99-600金币,,4,495.1344,4
20250311-20250314-4,中R,直购礼包礼包聚合1,2025情人节-节日礼包5,,4,855.1344,7
20250203-20250206-4,大R,直购礼包礼包聚合1,2024情人节信物礼包1,,9,2512.7967000000003,78
20250203-20250206-4,微R,直购礼包礼包聚合1,2024情人节信物礼包1,,1,575.7271000000002,17
20250214-20250218-5,大R,直购礼包礼包聚合1,2025情人节-节日礼包4,,13,2015.3136000000002,33
20250214-20250218-5,非R,直购礼包礼包聚合1,2025情人节-节日礼包1,,9,144.0,9
20241219-20241222-4,超R,直购礼包礼包聚合1,2024情人节稀有礼包4.99-300金币,,4,247.56719999999999,4
20250428-20250501-4,小R,直购礼包礼包聚合1,2024情人节信物礼包1,,7,2039.7160999999985,61
20250428-20250501-4,大R,直购礼包礼包聚合1,2024情人节信物礼包3,,13,40748.518799999976,64
