date,pay_tag,is_pay,is_9,is_10,is_80002,dau
2024-05-05,超R,10,10.0,11.0,13.0,15
2025-03-02,非R,5,18.0,12.0,9.0,1595
2025-01-22,未活跃,1,4.0,4.0,4.0,113
2025-01-05,超R,11,9.0,9.0,12.0,17
2024-01-05,中R,62,86.0,106.0,,139
2024-11-20,微R,20,85.0,64.0,49.0,276
2024-05-01,微R,33,81.0,112.0,55.0,268
2024-01-11,超R,7,11.0,12.0,,16
2024-06-20,超R,11,9.0,10.0,12.0,16
2024-01-16,未活跃,32,73.0,114.0,,771
2024-07-10,大R,22,31.0,28.0,30.0,33
2024-06-29,未活跃,11,24.0,33.0,22.0,423
2024-06-29,大R,26,32.0,29.0,29.0,33
2024-01-01,未活跃,39,72.0,115.0,,922
2024-06-03,未活跃,14,35.0,36.0,24.0,437
2025-01-07,大R,16,25.0,21.0,30.0,33
2025-04-08,超R,7,10.0,10.0,13.0,17
2024-02-04,中R,55,92.0,105.0,,141
2025-04-18,中R,63,95.0,85.0,82.0,147
2024-04-11,大R,17,31.0,30.0,,32
2024-01-23,大R,18,26.0,29.0,,33
2024-01-24,中R,49,92.0,106.0,,141
2023-12-11,微R,32,22.0,54.0,,272
2024-02-16,非R,28,82.0,114.0,,1569
2024-06-04,未活跃,14,35.0,36.0,25.0,427
2024-07-14,微R,33,71.0,78.0,78.0,266
2024-06-17,非R,11,52.0,68.0,55.0,1547
2024-09-13,小R,39,78.0,94.0,77.0,155
2025-01-27,中R,56,85.0,71.0,85.0,144
2025-05-11,微R,17,76.0,60.0,28.0,277
2024-11-24,大R,21,27.0,22.0,28.0,34
2025-01-29,未活跃,1,3.0,3.0,4.0,84
2024-08-22,小R,24,76.0,94.0,88.0,153
2025-03-03,未活跃,0,4.0,4.0,2.0,64
2025-05-14,未活跃,1,,1.0,1.0,33
2024-01-07,非R,73,85.0,132.0,,1635
2024-11-25,小R,32,84.0,87.0,71.0,157
2024-04-16,中R,51,89.0,100.0,,139
2024-07-07,大R,23,31.0,28.0,30.0,33
2023-12-31,中R,60,84.0,101.0,,141
2024-02-24,小R,41,86.0,120.0,,148
2024-02-24,中R,56,90.0,101.0,,141
2024-05-27,小R,20,75.0,106.0,85.0,150
2023-12-03,超R,9,3.0,3.0,,16
2024-05-31,大R,21,32.0,29.0,30.0,33
2023-11-27,中R,52,,,,144
2024-07-02,未活跃,8,23.0,28.0,21.0,361
2024-08-03,中R,51,92.0,93.0,101.0,142
2025-03-12,小R,22,74.0,72.0,63.0,156
2023-12-15,小R,32,43.0,60.0,,147
2024-05-07,超R,7,9.0,10.0,12.0,14
2024-05-19,微R,35,76.0,107.0,85.0,269
2025-05-16,非R,2,7.0,6.0,3.0,1518
2024-01-05,超R,9,11.0,12.0,,16
2025-03-24,中R,52,87.0,67.0,78.0,148
2023-12-04,非R,26,21.0,21.0,,1625
2024-07-25,大R,25,28.0,26.0,31.0,33
2024-12-26,超R,7,8.0,10.0,12.0,17
2025-03-07,未活跃,2,4.0,3.0,2.0,36
2025-04-21,超R,8,11.0,11.0,14.0,17
2024-10-08,未活跃,4,15.0,15.0,13.0,226
2024-02-11,非R,23,84.0,112.0,,1603
2024-05-25,中R,67,94.0,98.0,102.0,142
2024-06-13,小R,22,76.0,101.0,92.0,147
2023-11-07,未活跃,42,,,,962
2025-05-20,小R,37,82.0,91.0,50.0,158
2024-04-23,大R,24,32.0,30.0,,33
2023-12-25,大R,17,23.0,24.0,,33
2024-05-13,小R,22,78.0,103.0,97.0,145
2024-07-29,未活跃,11,19.0,18.0,26.0,311
2024-12-08,非R,8,35.0,26.0,21.0,1612
2025-01-06,未活跃,0,6.0,6.0,5.0,140
2024-11-09,大R,22,27.0,24.0,27.0,34
2024-10-02,超R,9,9.0,10.0,13.0,16
2023-12-02,非R,23,17.0,17.0,,1639
2025-01-15,中R,55,86.0,72.0,90.0,145
2024-12-12,小R,19,74.0,86.0,71.0,158
2024-08-30,大R,18,31.0,28.0,32.0,34
2024-09-15,小R,33,75.0,93.0,78.0,155
2025-04-11,非R,0,7.0,7.0,6.0,1577
2024-07-06,未活跃,14,21.0,29.0,24.0,415
2024-05-20,中R,47,94.0,100.0,106.0,141
2024-10-20,非R,12,47.0,38.0,29.0,1623
2025-04-19,中R,51,98.0,90.0,83.0,148
2023-12-30,非R,28,79.0,121.0,,1637
2025-02-28,超R,10,11.0,10.0,13.0,17
2024-12-14,微R,16,70.0,64.0,38.0,275
2024-03-01,微R,32,81.0,129.0,,266
2024-05-16,中R,52,92.0,101.0,105.0,139
2024-12-31,未活跃,0,6.0,7.0,7.0,126
2024-12-31,微R,14,72.0,54.0,38.0,271
2024-10-11,非R,22,48.0,42.0,32.0,1605
2024-03-07,大R,24,30.0,28.0,,33
2024-07-23,未活跃,6,21.0,23.0,26.0,348
2025-04-25,大R,18,25.0,28.0,30.0,33
2025-04-08,大R,11,22.0,18.0,25.0,34
2024-01-07,微R,67,76.0,131.0,,268
2025-02-25,超R,9,11.0,10.0,13.0,17
2025-04-26,非R,0,6.0,4.0,2.0,1596
2025-04-26,小R,37,85.0,90.0,60.0,156
2025-04-26,大R,23,25.0,28.0,30.0,34
2025-05-04,中R,30,101.0,99.0,85.0,147
2024-08-31,非R,31,46.0,45.0,33.0,1600
2025-02-12,超R,12,10.0,10.0,13.0,17
2024-01-28,未活跃,31,72.0,107.0,,755
2023-11-03,中R,49,,,,144
2024-02-20,未活跃,24,60.0,85.0,,645
2024-09-17,超R,8,10.0,11.0,11.0,16
2024-08-01,中R,71,91.0,92.0,102.0,142
2024-09-03,非R,23,46.0,44.0,36.0,1560
2024-01-26,中R,46,91.0,104.0,,138
2023-11-18,中R,52,,,,143
2024-04-15,小R,37,85.0,112.0,,144
2025-01-22,小R,23,77.0,78.0,66.0,158
2024-11-27,小R,12,79.0,86.0,66.0,156
2024-10-28,中R,57,86.0,83.0,92.0,143
2023-11-12,大R,18,,,,33
2024-12-30,未活跃,4,5.0,6.0,6.0,152
2023-12-28,小R,21,72.0,106.0,,145
2025-03-05,超R,9,11.0,10.0,12.0,17
2024-09-30,微R,33,84.0,72.0,60.0,276
2024-03-26,非R,11,73.0,92.0,,1559
2024-09-23,大R,23,30.0,25.0,31.0,34
2025-02-27,非R,8,17.0,13.0,10.0,1552
2025-05-10,未活跃,0,,,,42
2025-01-23,超R,11,10.0,10.0,11.0,17
2024-05-12,中R,64,93.0,101.0,105.0,140
2025-03-30,中R,46,88.0,66.0,76.0,148
2025-03-21,超R,11,10.0,10.0,11.0,17
2025-05-22,大R,19,24.0,25.0,24.0,33
2023-11-11,超R,9,,,,16
2024-02-05,非R,22,87.0,119.0,,1603
2024-07-08,非R,22,48.0,55.0,43.0,1570
2025-02-02,大R,13,25.0,21.0,30.0,34
2025-02-14,中R,61,87.0,69.0,86.0,146
2024-03-21,非R,17,75.0,94.0,,1544
2024-09-20,未活跃,5,15.0,16.0,18.0,237
2025-03-07,超R,12,11.0,10.0,11.0,17
2024-11-30,大R,24,27.0,22.0,29.0,34
2025-01-04,小R,19,73.0,81.0,66.0,156
2023-11-15,超R,10,,,,16
2024-01-06,非R,53,86.0,133.0,,1642
2024-01-06,小R,44,83.0,122.0,,148
2024-01-02,非R,38,84.0,140.0,,1614
2023-11-24,大R,18,,,,33
2023-12-18,小R,45,53.0,69.0,,148
2024-01-10,非R,19,86.0,130.0,,1608
2025-03-13,小R,27,74.0,73.0,62.0,158
2025-03-13,非R,3,21.0,11.0,10.0,1585
2025-03-13,微R,19,60.0,46.0,37.0,277
2024-02-20,超R,5,11.0,12.0,,16
2024-09-25,非R,11,47.0,40.0,31.0,1579
2023-12-07,小R,22,28.0,35.0,,148
2023-12-02,未活跃,29,11.0,17.0,,995
2024-07-30,未活跃,6,21.0,18.0,26.0,330
2024-10-14,非R,13,47.0,39.0,31.0,1645
2024-10-14,微R,22,81.0,71.0,54.0,277
2025-02-28,大R,14,25.0,21.0,24.0,34
2025-05-23,微R,23,60.0,46.0,17.0,266
2024-04-23,中R,51,92.0,102.0,,138
2024-11-04,未活跃,3,11.0,10.0,10.0,207
2024-10-27,中R,37,88.0,84.0,94.0,144
2025-03-06,微R,12,58.0,46.0,35.0,273
2023-11-03,微R,29,,,,268
2024-08-25,未活跃,12,20.0,20.0,19.0,297
2024-10-21,小R,32,85.0,88.0,75.0,156
2025-03-05,小R,21,73.0,70.0,64.0,156
2025-05-08,超R,10,13.0,13.0,14.0,17
2024-03-17,小R,27,83.0,115.0,,147
2024-02-19,大R,18,29.0,30.0,,33
2025-05-26,中R,17,46.0,40.0,32.0,80
2025-05-18,中R,65,93.0,90.0,82.0,145
2024-08-17,未活跃,14,19.0,19.0,20.0,329
2024-08-21,小R,28,77.0,95.0,89.0,154
2024-08-22,微R,22,75.0,78.0,70.0,275
2024-08-18,未活跃,12,19.0,19.0,21.0,295
2024-04-17,超R,9,11.0,11.0,,15
2024-12-17,微R,19,71.0,61.0,37.0,270
2024-05-27,大R,23,31.0,27.0,27.0,31
2024-11-15,大R,23,26.0,23.0,27.0,34
2025-04-09,非R,0,8.0,7.0,6.0,1581
2023-11-18,微R,29,,,,269
2024-02-24,非R,23,85.0,111.0,,1598
2025-04-30,小R,40,87.0,93.0,64.0,156
2025-04-30,中R,50,100.0,98.0,89.0,147
2024-03-18,超R,11,11.0,11.0,,16
2024-10-10,非R,9,48.0,41.0,31.0,1604
2024-12-12,大R,19,27.0,22.0,30.0,34
2025-05-14,大R,13,26.0,29.0,29.0,34
2025-04-19,微R,16,64.0,52.0,24.0,283
2025-04-19,非R,0,7.0,5.0,5.0,1618
2024-07-18,中R,70,94.0,95.0,105.0,141
2024-09-21,非R,16,44.0,39.0,34.0,1614
2024-08-29,微R,19,80.0,75.0,67.0,276
2023-11-26,超R,12,,,,16
2024-09-24,小R,19,77.0,91.0,73.0,153
2024-12-04,未活跃,3,7.0,7.0,8.0,148
2025-02-22,微R,10,62.0,49.0,41.0,277
2025-02-22,小R,18,76.0,73.0,67.0,156
2024-08-14,中R,49,97.0,95.0,106.0,143
2025-02-10,未活跃,2,3.0,3.0,4.0,85
2024-09-29,超R,12,10.0,11.0,13.0,17
2025-02-17,中R,56,87.0,70.0,87.0,147
2024-03-12,未活跃,16,53.0,69.0,,591
2025-01-27,微R,12,71.0,63.0,38.0,278
2025-04-23,微R,8,64.0,55.0,24.0,269
2023-11-25,小R,46,,,,150
2024-09-12,中R,40,89.0,90.0,99.0,145
2024-12-27,中R,49,89.0,73.0,87.0,144
2025-01-12,非R,14,23.0,22.0,15.0,1626
2025-04-16,非R,0,7.0,6.0,5.0,1552
2024-02-11,中R,53,91.0,103.0,,138
2024-04-24,微R,20,81.0,117.0,,266
2024-12-16,微R,18,72.0,65.0,39.0,271
2024-03-02,微R,27,80.0,125.0,,266
2024-09-19,大R,19,31.0,26.0,32.0,34
2025-03-19,中R,47,85.0,65.0,80.0,147
2024-12-24,小R,21,74.0,87.0,73.0,156
2025-03-27,中R,49,87.0,66.0,77.0,147
2024-11-04,大R,28,29.0,25.0,28.0,34
2025-04-11,大R,20,22.0,18.0,25.0,34
2024-05-24,非R,18,57.0,74.0,66.0,1533
2024-01-15,超R,12,11.0,12.0,,16
2024-01-13,小R,25,87.0,120.0,,146
2025-02-04,超R,11,8.0,10.0,13.0,17
2025-05-26,未活跃,0,,1.0,,7
2024-10-31,大R,25,29.0,26.0,29.0,34
2024-07-15,小R,38,79.0,99.0,89.0,150
2024-12-19,中R,43,89.0,74.0,87.0,144
2024-01-12,未活跃,38,76.0,112.0,,788
2025-01-21,超R,11,10.0,10.0,10.0,17
2024-01-17,非R,21,84.0,127.0,,1592
2023-11-30,超R,12,,,,16
2023-12-26,微R,39,62.0,115.0,,268
2024-03-14,超R,6,11.0,11.0,,15
2024-02-06,超R,9,9.0,11.0,,15
2024-01-16,中R,50,93.0,108.0,,141
2023-12-14,非R,28,46.0,63.0,,1602
2024-02-15,大R,20,30.0,30.0,,33
2024-06-29,中R,61,90.0,95.0,106.0,141
2023-11-07,超R,10,,,,16
