date,act_tag,role_id,vip_level,level,pay_tag,is_pay,money,web_money,money_rmb,webmoney_rmb,core_add,core_cost,core_end,sincetimes_add,sincetimes_cost,sincetimes_end,act_rmb,bp_rmb,item_cost,item_add,summon_count,summon_21602,summon_21603,item_tag,summon_wau,summon21602_wau,summon21603_wau,actrmb_wau,bprmb_wau,dau,wau
2025-02-24,20250223-20250226-4,13632226320179,2,123,非R,0,,,,,1660.0,1375.0,1155,,,5.0,,,,,,,,[0],,,,,,1,
2025-02-25,20250223-20250226-4,13632226320179,2,123,非R,0,,,,,320.0,1280.0,195,,,5.0,,,,,,,,[0],,,,,,1,
2025-02-26,20250223-20250226-4,13632226320179,2,123,非R,0,,,,,1460.0,1050.0,605,,,5.0,,,,,,,,[0],,,,,,1,
2025-01-10,20250110-20250113-4,13640816296507,2,122,非R,0,,,,,260.0,2700.0,11505,,,1.0,,,,,,,,[0],,,,,,1,1.0
2025-01-11,20250110-20250113-4,13640816296507,2,122,非R,0,,,,,1320.0,120.0,12705,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-12,20250110-20250113-4,13640816296507,2,122,非R,0,,,,,920.0,1360.0,12265,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-13,20250110-20250113-4,13640816296507,2,122,非R,0,,,,,740.0,,13005,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-21,20250121-20250124-4,13653701279742,0,110,非R,0,,,,,635.0,1050.0,22809,,,21.0,,,,,,,,[0],,,,,,1,1.0
2025-01-22,20250121-20250124-4,13653701279742,0,110,非R,0,,,,,290.0,,23099,,,21.0,,,,,,,,[0],,,,,,1,
2025-01-23,20250121-20250124-4,13653701279742,0,110,非R,0,,,,,650.0,,23749,,,21.0,,,,2.0,,,,[0],,,,,,1,
2025-01-24,20250121-20250124-4,13653701279742,0,110,非R,0,,,,,750.0,,24499,,,21.0,,,,,,,,[0],,,,,,1,
2025-02-23,20250223-20250226-4,13666586379150,1,85,非R,0,,,,,360.0,,285490,,,5.0,,,,,,,,[0],,,,,,1,1.0
2025-02-24,20250223-20250226-4,13666586379150,1,85,非R,0,,,,,160.0,,285650,,,5.0,,,,,,,,[0],,,,,,1,
2025-02-25,20250223-20250226-4,13666586379150,1,85,非R,0,,,,,60.0,,285710,,,5.0,,,,,,,,[0],,,,,,1,
2025-02-26,20250223-20250226-4,13666586379150,1,85,非R,0,,,,,160.0,,285870,,,5.0,,,,,,,,[0],,,,,,1,
2025-02-23,20250223-20250226-4,13679471230820,0,101,非R,0,,,,,700.0,,79016,,,21.0,,,,,,,,[0],,,,,,1,1.0
2025-02-24,20250223-20250226-4,13679471230820,0,101,非R,0,,,,,,,79016,,,21.0,,,,,,,,[0],,,,,,1,
2025-02-25,20250223-20250226-4,13679471230820,0,101,非R,0,,,,,100.0,,79116,,,21.0,,,,,,,,[0],,,,,,1,
2025-02-26,20250223-20250226-4,13679471230820,0,101,非R,0,,,,,300.0,,79416,,,21.0,,,,,,,,[0],,,,,,1,
2025-01-10,20250110-20250113-4,13705240746357,1,108,非R,0,,,,,160.0,,3571,,,0.0,,,,,,,,"[1,20)",1.0,1.0,,,,1,1.0
2025-01-11,20250110-20250113-4,13705240746357,1,108,非R,0,,,,,320.0,,3891,,,0.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-12,20250110-20250113-4,13705240746357,1,108,非R,0,,,,,960.0,300.0,4551,,,0.0,,,,2.0,,,,"[1,20)",,,,,,1,
2025-01-13,20250110-20250113-4,13705240746357,1,108,非R,0,,,,,1045.0,,5596,,,0.0,,,2.0,,1.0,1.0,,"[1,20)",,,,,,1,
2025-02-23,20250223-20250226-4,13726715901445,1,96,非R,0,,,,,320.0,,65147,,,5.0,,,,,,,,[0],,,,,,1,1.0
2025-02-24,20250223-20250226-4,13726715901445,1,96,非R,0,,,,,320.0,230.0,65237,,,5.0,,,,,,,,[0],,,,,,1,
2025-02-25,20250223-20250226-4,13726715901445,1,96,非R,0,,,,,195.0,,65432,,,5.0,,,,,,,,[0],,,,,,1,
2025-02-26,20250223-20250226-4,13726715901445,1,96,非R,0,,,,,170.0,300.0,65302,,,5.0,,,,,,,,[0],,,,,,1,
2025-02-23,20250223-20250226-4,13726715948142,2,97,非R,0,,,,,160.0,79.0,425,,,2.0,,,,,,,,"[1,20)",1.0,1.0,,,,1,1.0
2025-02-24,20250223-20250226-4,13726715948142,2,97,非R,0,,,,,310.0,647.0,88,,,2.0,,,,,,,,"[1,20)",,,,,,1,
2025-02-25,20250223-20250226-4,13726715948142,2,97,非R,0,,,,,160.0,178.0,70,,,2.0,,,,,,,,"[1,20)",,,,,,1,
2025-02-26,20250223-20250226-4,13726715948142,2,97,非R,0,,,,,160.0,207.0,23,,,2.0,,,2.0,2.0,1.0,1.0,,"[1,20)",,,,,,1,
2025-02-25,20250223-20250226-4,13726716083102,0,94,非R,0,,,,,540.0,2460.0,326,,,,,,,,,,,[0],,,,,,1,1.0
2025-02-26,20250223-20250226-4,13726716083102,0,94,非R,0,,,,,345.0,430.0,241,,,,,,,,,,,[0],,,,,,1,
2025-01-21,20250121-20250124-4,13739600960522,0,105,非R,0,,,,,1960.0,1025.0,16304,,,21.0,,,,,,,,[0],,,,,,1,1.0
2025-01-22,20250121-20250124-4,13739600960522,0,105,非R,0,,,,,1670.0,625.0,17349,,,21.0,,,,,,,,[0],,,,,,1,
2025-01-23,20250121-20250124-4,13739600960522,0,105,非R,0,,,,,1920.0,425.0,18844,,,21.0,,,,,,,,[0],,,,,,1,
2025-01-24,20250121-20250124-4,13739600960522,0,105,非R,0,,,,,3560.0,825.0,21579,,,21.0,,,,,,,,[0],,,,,,1,
2025-02-23,20250223-20250226-4,13773960444487,0,113,非R,0,,,,,490.0,1000.0,34310,,,21.0,,,,,,,,[0],,,,,,1,1.0
2025-02-24,20250223-20250226-4,13773960444487,0,113,非R,0,,,,,1320.0,1000.0,34630,,,21.0,,,,,,,,[0],,,,,,1,
2025-02-25,20250223-20250226-4,13773960444487,0,113,非R,0,,,,,505.0,,35135,,,21.0,,,,,,,,[0],,,,,,1,
2025-02-26,20250223-20250226-4,13773960444487,0,113,非R,0,,,,,570.0,1000.0,34705,,,21.0,,,,,,,,[0],,,,,,1,
2025-01-10,20250110-20250113-4,13791140124872,4,123,非R,0,,,,,580.0,75.0,72213,,,111.0,,,,,,,,[0],,,,,,1,1.0
2025-01-11,20250110-20250113-4,13791140124872,4,123,非R,0,,,,,1205.0,50.0,73368,,,111.0,,,,2.0,,,,[0],,,,,,1,
2025-01-12,20250110-20250113-4,13791140124872,4,123,非R,0,,,,,1120.0,250.0,74238,,,111.0,,,,,,,,[0],,,,,,1,
2025-01-13,20250110-20250113-4,13791140124872,4,123,非R,0,,,,,545.0,1000.0,73783,,,111.0,,,,,,,,[0],,,,,,1,
2025-02-23,20250223-20250226-4,13825500148201,12,101,非R,0,,,,,520.0,4500.0,8968,,,1.0,,,2.0,2.0,1.0,1.0,,"[1,20)",1.0,1.0,,,,1,1.0
2025-02-24,20250223-20250226-4,13825500148201,12,101,非R,0,,,,,420.0,9280.0,108,,,1.0,,,4.0,4.0,2.0,2.0,,"[1,20)",,,,,,1,
2025-02-25,20250223-20250226-4,13825500148201,12,101,非R,0,,,,,430.0,524.0,14,,,1.0,,,,,,,,"[1,20)",,,,,,1,
2025-02-26,20250223-20250226-4,13825500148201,12,101,非R,0,,,,,390.0,,404,,,1.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-10,20250110-20250113-4,13834089776457,9,114,非R,0,,,,,860.0,375.0,321350,,,21.0,,,,,,,,[0],,,,,,1,1.0
2025-01-11,20250110-20250113-4,13834089776457,9,114,非R,0,,,,,760.0,175.0,321935,,,21.0,,,,,,,,[0],,,,,,1,
2025-01-12,20250110-20250113-4,13834089776457,9,114,非R,0,,,,,1260.0,200.0,322995,,,21.0,,,,,,,,[0],,,,,,1,
2025-01-13,20250110-20250113-4,13834089776457,9,114,非R,0,,,,,1360.0,250.0,324105,,,21.0,,,,,,,,[0],,,,,,1,
2025-01-10,20250110-20250113-4,14001593992165,3,106,非R,0,,,,,1330.0,1025.0,1191,,,1.0,,,,,,,,[0],,,,,,1,1.0
2025-01-11,20250110-20250113-4,14001593992165,3,106,非R,0,,,,,780.0,1000.0,971,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-12,20250110-20250113-4,14001593992165,3,106,非R,0,,,,,1120.0,1025.0,1066,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-13,20250110-20250113-4,14001593992165,3,106,非R,0,,,,,820.0,1000.0,886,,,1.0,,,,,,,,[0],,,,,,1,
2025-02-23,20250223-20250226-4,14100377805187,12,126,微R,0,,,,,1290.0,475.0,29875,,,5.0,,,,,,,,"[1,20)",1.0,,1.0,,,1,1.0
2025-02-24,20250223-20250226-4,14100377805187,12,126,微R,0,,,,,2380.0,600.0,31655,,,5.0,,,,,,,,"[1,20)",,,,,,1,
2025-02-25,20250223-20250226-4,14100377805187,12,126,微R,0,,,,,1620.0,675.0,32600,,,5.0,,,2.0,2.0,1.0,,1.0,"[1,20)",,,,,,1,
2025-02-26,20250223-20250226-4,14100377805187,12,126,微R,0,,,,,555.0,775.0,32380,,,5.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-10,20250110-20250113-4,14130442565060,7,118,非R,0,,,,,395.0,100.0,8407,,,1.0,,,,,,,,[0],,,,,,1,1.0
