act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250501-20250515-15,超R,直购礼包礼包聚合1,签到礼包2,,12,1455.1344,12
20250101-20250115-15,非R,直购礼包礼包聚合2,非R,,31,12528.215199999995,52
20250101-20250115-15,非R,直购礼包礼包聚合1,签到礼包2,,24,2970.8064000000004,24
20250101-20250115-15,微R,直购礼包礼包聚合1,签到礼包4,,4,2459.2144,4
20250101-20250115-15,小R,直购礼包礼包聚合2,小R,,94,27945.389999999992,141
20250227-20250313-15,中R,直购礼包礼包聚合1,签到礼包1,,62,3833.507999999997,62
20250202-20250216-15,大R,直购礼包礼包聚合1,签到礼包4,,24,15162.053999999993,24
20250227-20250313-15,大R,直购礼包礼包聚合1,签到礼包4,,28,17847.250399999994,28
20250227-20250313-15,小R,直购礼包礼包聚合1,签到礼包4,,12,7377.643200000001,12
20250202-20250216-15,非R,直购礼包礼包聚合2,非R,,26,11077.767199999998,46
20250202-20250216-15,大R,直购礼包礼包聚合1,签到礼包3,,26,8187.0160000000005,26
20250202-20250216-15,超R,直购礼包礼包聚合1,签到礼包4,,14,8968.8216,14
20250202-20250216-15,大R,直购礼包礼包聚合1,签到礼包1,,21,1287.7464,21
20250101-20250115-15,非R,直购礼包礼包聚合1,签到礼包4,,10,6419.214400000001,10
20250501-20250515-15,微R,直购礼包礼包聚合1,签到礼包2,,22,2750.9856,22
20250202-20250216-15,小R,直购礼包礼包聚合1,签到礼包4,,19,11771.661199999997,19
20250101-20250115-15,大R,直购礼包礼包聚合2,大R,,33,31029.538800000006,107
20250202-20250216-15,未活跃,直购礼包礼包聚合1,签到礼包4,,1,614.8036,1
20250227-20250313-15,小R,直购礼包礼包聚合1,签到礼包1,,41,2553.3287999999993,41
20250202-20250216-15,未活跃,直购礼包礼包聚合2,未活跃,,6,1870.1172,10
20250202-20250216-15,小R,直购礼包礼包聚合1,签到礼包2,,54,6722.150399999994,54
20250227-20250313-15,超R,直购礼包礼包聚合1,签到礼包2,,13,1590.2687999999998,13
20250501-20250515-15,微R,直购礼包礼包聚合1,签到礼包4,,6,3734.018,6
20250202-20250216-15,未活跃,直购礼包礼包聚合1,签到礼包2,,3,375.13439999999997,3
20250202-20250216-15,小R,直购礼包礼包聚合1,签到礼包1,,48,2990.985599999998,48
20250101-20250115-15,中R,直购礼包礼包聚合1,签到礼包2,,75,9287.553599999988,75
20250101-20250115-15,未活跃,直购礼包礼包聚合1,签到礼包3,,3,937.836,3
20250501-20250515-15,小R,直购礼包礼包聚合2,小R,,67,16615.823999999982,90
