month,channel,item_id,item_name,item_add,core_cost,item_cost,item_price
2024-01-01,800001,1-11062,海之种,5600,11602.34,4720,200.0
2024-01-01,800001,1-2506,资源自选包4,5637,19169.21,4553,500.0
2024-01-01,800001,1-12024,风龙,950,57126.90000000001,932,10000.0
2024-01-01,800001,1-2102,红色衣服自选包,141,24040.320000000003,95,25000.0
2024-01-01,800001,1-8006,随机巨龙宝箱II,17,4196.549999999999,19,80000.0
2024-01-01,800001,1-12014,双足飞龙-风,240,4405.11,397,2000.0
2024-01-01,800001,1-1504,圣能结晶,3097099853,24195126.44000001,2030891170,1.0
2024-01-01,800001,1-9130,连连看补给包I,619,3788.95,619,500.0
2024-01-01,800001,1-1558,圣石,11923,24326.000000000015,10889,300.0
2024-01-01,800001,1-12033,红炎龙,110,123407.03999999998,109,80000.0
2024-01-01,800001,1-2304,自选装备（紫+）,26,543.13,18,750.0
2024-01-01,800001,1-1604,3周年游戏币,27,393.3499999999999,49,800.0
2024-01-01,800001,1-1523,黑暗之羽,2839,3959.96,2750,80.0
2024-01-01,800001,1-2566,月光自选包2,5843,26917.719999999998,4277,500.0
2024-01-01,800001,1-9127,娃娃机补给包II,31,1589.0500000000002,31,1460.0
2024-01-01,800001,1-2570,调和圣殿养成自选包,15257,98417.91,13398,500.0
2024-01-01,800001,1-2519,暗系自选红装备（力量）,35,6393.79,36,25000.0
2024-01-01,800001,1-2534,招募道具自选包2,15569,22699.03,12134,500.0
2024-01-01,800001,1-12036,暗裔龙,38,81535.37000000001,38,160000.0
2024-01-01,800001,1-12013,双足飞龙-火,335,7115.850000000001,425,2000.0
2024-01-01,800001,1-9128,娃娃机补给包III,27,2270.02,27,1780.0
2024-01-01,800001,1-1557,圣露,17440,39119.900000000016,16331,300.0
2024-01-01,800001,1-1515,天命圣水,1831754090,4359055.749999999,1757452650,0.3
2024-01-01,800001,1-1136,精星沙,95687,191707.79999999993,72451,150.0
2024-01-01,800001,1-9118,射箭补给包I,429,2286.9700000000003,429,500.0
2024-01-01,800001,1-11065,圣之种,720,1481.5299999999997,760,400.0
2024-01-01,800001,1-530305,兔女郎的圣诞礼物,237,29511.26,213,12800.0
2024-01-01,800001,1-9171,自选礼包,10,709.76,10,7680.0
2024-01-01,800001,1-1114,元素招募券,28615,132009.99000000002,21386,540.0
2024-01-01,800001,1-12042,冰海领主龙,8,29181.059999999998,7,160000.0
2024-01-01,800001,1-9133,连连看补给包IV,13,1761.31,13,3280.0
2024-01-01,800001,1-2101,红色武器自选包,241,40535.619999999995,172,25000.0
2024-01-01,800001,1-1577,夺命飞弹,439,43216.95,444,3000.0
2024-01-01,800001,1-1551,金钥匙,666,12581.05,639,3000.0
2024-01-01,800001,1-2104,红色鞋子自选包,247,27101.170000000002,182,25000.0
2024-01-01,800001,1-2505,资源自选包3,187786,571579.07,111856,500.0
2024-01-01,800001,1-1552,银钥匙,5929,48288.049999999974,5780,800.0
2024-01-01,800001,1-11063,炎之种,2440,5041.55,2400,200.0
2024-01-01,800001,1-1201,1小时塔拉币,1328206,54995.4899999998,1222748,5.0
2024-01-01,800001,1-1560,心愿祈愿券,352049,1141995.2000000002,347067,300.0
2024-01-01,800001,1-1137,初级才能符文,1736101,449961.5800000001,676730,20.0
2024-01-01,800001,1-421411,伊织萌抹油皮肤,2,1045.89,1,12800.0
2024-01-01,800001,1-1302,2小时历练值,112575,52272.01999999999,235052,40.0
2024-01-01,800001,1-1584,王者之锤,83195,95425.25999999995,72160,150.0
2024-01-01,800001,1-11081,金色朝露,83077948,2654613.52,81388720,5.0
2024-01-01,800001,1-1518,大地之羽,477062,165209.47,330110,40.0
2024-01-01,800001,1-1120,高级才能符文,1403243,606287.9900000001,1129661,40.0
2024-01-01,800001,1-1132,初级挑战券,63666,50548.720000000045,13831,100.0
2024-01-01,800001,1-1148,星霜结晶,668694670,0.0,262485060,0.0
