month,channel,item_id,item_name,item_add,core_cost,item_cost,item_price
2024-06-01,800001,1-12044,羽蛇领主龙,10,15813.199999999999,9,160000.0
2024-06-01,800001,1-2568,初级笔记自选包2,3688,86586.86,4192,1200.0
2024-06-01,800001,1-11064,岚之种,3600,4715.94,3040,200.0
2024-06-01,800001,1-1303,6小时历练值,285494,200804.34,252080,120.0
2024-06-01,800001,1-2574,六元素领主龙自选包,1,536.44,1,320000.0
2024-06-01,800001,1-12021,地龙,1371,50045.57000000001,1216,10000.0
2024-06-01,800001,1-1619,情人节游戏币,15,259.21999999999997,,800.0
2024-06-01,800001,1-1147,限定招募券,190,538.21,190,300.0
2024-06-01,800001,1-11063,炎之种,6000,9026.799999999997,4080,200.0
2024-06-01,800001,1-2527,四元素羽毛自选包,114000,38919.36,92263,40.0
2024-06-01,800001,1-1302,2小时历练值,54985,17931.72,90892,40.0
2024-06-01,800001,1-2518,光系自选红装备（智力）,36,9098.500000000002,37,25000.0
2024-06-01,800001,1-2102,红色衣服自选包,73,9755.0,56,25000.0
2024-06-01,800001,1-430904,无垢的花嫁,1,166.87,2,12800.0
2024-06-01,800001,1-12032,冰霜龙,189,177649.22,195,80000.0
2024-06-01,800001,1-431204,小鹿乱撞的约会,188,27747.329999999998,181,12800.0
2024-06-01,800001,1-11062,海之种,7120,14552.87,8240,200.0
2024-06-01,800001,1-421104,全力应援的啦啦队少女,2,286.33,3,12800.0
2024-06-01,800001,1-1590,跳一跳入场券,1,0.0,,800.0
2024-06-01,800001,1-9138,守护活力包||,592,2389.9100000000003,592,350.0
2024-06-01,800001,1-1118,星芒结晶,5273,99425.33000000002,4108,2000.0
2024-06-01,800001,1-2559,自选红装备（敏捷）,1,39.68,1,25000.0
2024-06-01,800001,1-9123,航海补给包II,29,655.18,29,1460.0
2024-06-01,800001,1-1113,招募券,665290,1615141.65,593585,270.0
2024-06-01,800001,1-1130,光元素宝石,50245,22274.249999999996,42435,100.0
2024-06-01,800001,1-1114,元素招募券,23540,112094.5,15759,540.0
2024-06-01,800001,1-2555,水系自选红装备（智力）,2,1838.17,2,25000.0
2024-06-01,800001,1-1519,海洋之羽,464824,162616.72999999998,447500,40.0
2024-06-01,800001,1-9163,王者争夺战礼包II,26,298.65,26,1000.0
2024-06-01,800001,1-2532,四元素巨龙自选包,336,485333.81000000006,317,80000.0
2024-06-01,800001,1-1117,扭蛋币,384628,711420.0599999999,321802,300.0
2024-06-01,800001,1-1301,1小时历练值,26896,7214.660000000001,25239,20.0
2024-06-01,800001,1-1403,6小时潜力水晶,513150,558581.7400000001,464806,180.0
2024-06-01,800001,1-1116,高级精钢,817953,916479.85,745328,150.0
2024-06-01,800001,1-1549,悬赏单,13,442.29,,1145.833333
2024-06-01,800001,1-4105,夏日的亲密距离,1,206.24,2,12800.0
2024-06-01,800001,1-12014,双足飞龙-风,676,8634.94,533,2000.0
2024-06-01,800001,1-1598,放大镜,1,0.0,,200.0
2024-06-01,800001,1-1574,龙血精华,398,2564.2600000000007,397,450.0
2024-06-01,800001,1-9125,航海补给包IV,8,928.98,8,3280.0
2024-06-01,800001,1-2573,四元素领主龙自选包,10,39583.9,17,160000.0
2024-06-01,800001,1-11061,岩之种,10520,10821.580000000002,7560,200.0
2024-06-01,800001,1-1122,猎龙精魄,10348591,157521.39999999997,9750264,2.4
2024-06-01,800001,1-2569,高级笔记自选包2,4613,122538.32000000004,4879,1200.0
2024-06-01,800001,1-1123,猎龙精魂,10934219,196690.7200000001,10414652,2.8
2024-06-01,800001,1-2520,暗系自选红装备（敏捷）,16,3097.03,15,25000.0
2024-06-01,800001,1-9165,王者争夺战礼包IV,63,4095.59,63,4500.0
2024-06-01,800001,1-8006,随机巨龙宝箱II,9,410.90000000000003,6,80000.0
2024-06-01,800001,1-11081,金色朝露,74153750,2016095.5699999996,63811830,5.0
2024-06-01,800001,1-1610,魔力碎片,5725540,410069.91,5365000,10.0
2024-06-01,800001,1-1608,万圣节南瓜,3,82.97,4,800.0
2024-06-01,800001,1-1136,精星沙,72919,130659.09,56877,150.0
2024-06-01,800001,1-1621,白色情人节游戏券,15,10.16,17,100.0
2024-06-01,800001,1-1558,圣石,9031,21216.720000000016,8458,300.0
2024-06-01,800001,1-2560,自选红装备（智力）,2,1838.17,2,25000.0
2024-06-01,800001,1-1561,闪亮之星祈愿券,222919,582119.0000000002,223955,300.0
2024-06-01,800001,1-1559,龙的心脏,13927,105244.29999999999,8540,1000.0
2024-06-01,800001,1-8005,随机巨龙宝箱I,1056,61802.39,1005,10000.0
2024-06-01,800001,1-1552,银钥匙,4919,38268.09000000001,4869,800.0
2024-06-01,800001,1-12033,红炎龙,157,107589.56999999998,151,80000.0
2024-06-01,800001,1-2534,招募道具自选包2,14039,26283.719999999994,8784,500.0
2024-06-01,800001,1-9122,航海补给包I,423,1815.8200000000004,423,500.0
2024-06-01,800001,1-1629,2024泳装祭小游戏券,27853,17471.27000000001,25442,100.0
2024-06-01,800001,1-2501,元素宝石自选包,1354987,1742421.04,1228991,100.0
2024-06-01,800001,1-12036,暗裔龙,34,47776.12,34,160000.0
2024-06-01,800001,1-440904,片刻小憩,1,1133.16,2,12800.0
2024-06-01,800001,1-1600,无念之书,548691,174589.92,194864,50.0
2024-06-01,800001,1-12035,光耀龙,23,23040.33,23,160000.0
2024-06-01,800001,1-1570,天空之羽,31388,4328.050000000003,29759,30.0
2024-06-01,800001,1-1138,私人信件,28080994,1993318.3100000008,20820076,10.0
2024-06-01,800001,1-2530,资源自选包6,104713,403202.32,73707,500.0
2024-06-01,800001,1-1551,金钥匙,532,13275.600000000002,512,3000.0
2024-06-01,800001,1-9131,连连看补给包II,106,3930.54,106,1460.0
2024-06-01,800001,1-9118,射箭补给包I,478,2431.67,478,500.0
2024-06-01,800001,1-2542,初级手册自选包,104,11287.129999999997,81,10000.0
2024-06-01,800001,1-12043,火蜥领主龙,11,12501.13,11,160000.0
2024-06-01,800001,1-1592,气球,2,23.51,13,800.0
2024-06-01,800001,1-2517,光系自选红装备（敏捷）,11,1431.27,12,25000.0
2024-06-01,800001,1-9162,王者争夺战礼包I,1040,1548.2899999999986,1040,300.0
2024-06-01,800001,1-2538,光暗羽毛自选包2,15100,52173.73999999999,10029,200.0
2024-06-01,800001,1-1553,洛阳铲,229720,326721.41000000003,204705,180.0
2024-06-01,800001,1-1139,占卜卡,46573,153649.53999999998,40754,500.0
2024-06-01,800001,1-1119,概率UP招募券,22781,56423.61,17605,300.0
2024-06-01,800001,1-2103,红色饰品自选包,103,11911.929999999998,69,25000.0
2024-06-01,800001,1-1572,大地之核,29665,3726.4700000000016,28660,30.0
