month,channel,money,core_gain,core_cost,corecost_once,corecost_forever,corecost_play
2024-02-01,800001,16367270,169990238,157730231,104472334.22,41840614.10000001,11417283
2024-02-01,800002,24727780,281652623,270474630,181281881.89999992,72589142.82999998,16603570
