month,channel,item_id,item_name,item_add,core_cost,item_cost,item_price
2024-02-01,800001,1-12036,暗裔龙,35,55742.719999999994,33,160000.0
2024-02-01,800001,1-1609,魔力晶石,44083595,287091.4899999999,29287100,1.0
2024-02-01,800001,1-2517,光系自选红装备（敏捷）,15,1967.59,18,25000.0
2024-02-01,800001,1-1403,6小时潜力水晶,574503,555461.8700000002,463532,180.0
2024-02-01,800001,1-12044,羽蛇领主龙,12,19431.46,12,160000.0
2024-02-01,800001,1-1527,光暗招募应援券,46787,728488.08,7036,2500.0
2024-02-01,800001,1-1561,闪亮之星祈愿券,304131,707259.7499999997,305555,300.0
2024-02-01,800001,1-1584,王者之锤,80665,96788.93000000001,78344,150.0
2024-02-01,800001,1-1524,晶矿入场券,76,40.870000000000005,77,100.0
2024-02-01,800001,1-1203,6小时塔拉币,115921,24171.700000000004,112897,30.0
2024-02-01,800001,1-2527,四元素羽毛自选包,119500,38241.65000000001,87548,40.0
2024-02-01,800001,1-2535,装备材料自选包,34689,166027.77999999997,23352,500.0
2024-02-01,800001,1-2577,六元素羽毛自选包,1400,823.62,200,80.0
2024-02-01,800001,1-11051,龙颈之玉,327812,169629.44,289382,100.0
2024-02-01,800001,1-16018,情人节纪念（武田信玄）,85,11035.599999999999,,6400.0
2024-02-01,800001,1-8005,随机巨龙宝箱I,1219,54990.289999999986,1171,10000.0
2024-02-01,800001,1-9137,守护活力包|,4615,0.0,4615,0.0
2024-02-01,800001,1-1521,飓风之羽,460924,125960.08000000005,403050,40.0
2024-02-01,800001,1-9171,自选礼包,6,247.99,6,7680.0
2024-02-01,800001,1-1148,星霜结晶,574013990,0.0,235585540,0.0
2024-02-01,800001,1-1135,星沙,9305052,184243.47000000006,4530043,3.0
2024-02-01,800001,1-16027,情人节纪念（德古拉）,1027,90267.89,,6400.0
2024-02-01,800001,1-1124,普通强化石,2538609,596444.75,2090250,20.0
2024-02-01,800001,1-2565,星辉自选包2,4007,8306.62,3171,240.0
2024-02-01,800001,1-2506,资源自选包4,5136,19008.41000000001,3963,500.0
2024-02-01,800001,1-2572,招募自选箱,74750,196261.9599999999,35525,300.0
2024-02-01,800001,1-1137,初级才能符文,1546612,379678.3300000002,647427,20.0
2024-02-01,800001,1-11064,岚之种,5920,10481.679999999998,4480,200.0
2024-02-01,800001,1-1301,1小时历练值,36830,8553.929999999995,32240,20.0
2024-02-01,800001,1-9118,射箭补给包I,419,2154.57,419,500.0
2024-02-01,800001,1-1577,夺命飞弹,604,46104.979999999996,698,3000.0
2024-02-01,800001,1-9132,连连看补给包III,103,5207.45,103,1780.0
2024-02-01,800001,1-1601,忘我之书,56379,41278.579999999994,28166,100.0
2024-02-01,800001,1-16002,情人节纪念（克里奥佩特拉）,6,684.16,,6400.0
2024-02-01,800001,1-1130,光元素宝石,106161,115597.86000000002,98445,100.0
2024-02-01,800001,1-1607,万圣节糖果,30,1.68,,8.0
2024-02-01,800001,1-1522,光明之羽,12345,10759.53,10850,80.0
2024-02-01,800001,1-16014,情人节纪念（荆轲）,906,70312.71,,6400.0
2024-02-01,800001,1-1618,温泉游戏币,545,1219.9799999999996,4940,100.0
2024-02-01,800001,1-1128,火元素宝石,615299,1707678.85,592810,100.0
2024-02-01,800001,1-2102,红色衣服自选包,115,10568.1,83,25000.0
2024-02-01,800001,1-16016,情人节纪念（阿市）,94,12649.159999999998,,6400.0
2024-02-01,800001,1-16017,情人节纪念（本多忠胜）,71,13797.37,,6400.0
2024-02-01,800001,1-1556,美味便当,8555,39848.99000000002,5729,560.0
2024-02-01,800001,1-9133,连连看补给包IV,30,3469.36,30,3280.0
2024-02-01,800001,1-2501,元素宝石自选包,1547593,1619543.8500000006,1449555,100.0
2024-02-01,800001,1-16009,情人节纪念（妲己）,18,4434.139999999999,,6400.0
2024-02-01,800001,1-1551,金钥匙,692,11139.78,688,3000.0
2024-02-01,800001,1-16022,情人节纪念（查理曼）,20,3848.5,,6400.0
2024-02-01,800001,1-1525,招募应援券,66308,583108.0900000003,289,1500.0
2024-02-01,800001,1-16011,情人节纪念（上杉谦信）,33,6135.59,,6400.0
2024-02-01,800001,1-2538,光暗羽毛自选包2,20400,55832.89000000001,11626,200.0
2024-02-01,800001,1-1604,3周年游戏币,6,174.89,20,800.0
2024-02-01,800001,1-9167,王者决胜战礼包II,23,1772.5,23,2500.0
2024-02-01,800001,1-1547,普通挑战券,19267,16544.829999999994,6059,104.1666667
2024-02-01,800001,1-1619,情人节游戏币,63200,360368.03,56130,800.0
2024-02-01,800001,1-2548,火系自选红装备（力量）,2,2188.3700000000003,2,25000.0
2024-02-01,800001,1-1136,精星沙,76056,114254.47999999998,63538,150.0
2024-02-01,800001,1-1599,静心之书,474955,49889.1,331090,20.0
2024-02-01,800001,1-2532,四元素巨龙自选包,383,375358.3900000001,344,80000.0
2024-02-01,800001,1-1528,战宠卡池券,92130,248888.45999999996,92475,300.0
2024-02-01,800001,1-2567,相遇招募自选包2,4090,41976.130000000005,4082,1000.0
2024-02-01,800001,1-2526,红色装备自选包（光暗）,279,291036.75,246,25000.0
2024-02-01,800001,1-1549,悬赏单,21,483.8,6,1145.833333
2024-02-01,800001,1-1509,天命祈愿券,364883,2243041.3400000003,352620,300.0
2024-02-01,800001,1-1129,风元素宝石,429634,295044.07999999996,423955,100.0
2024-02-01,800001,1-2503,资源自选包1,24439,78484.19,17860,500.0
2024-02-01,800001,1-2558,自选红装备（力量）,3,2619.05,3,25000.0
2024-02-01,800001,1-8011,女神的谢礼,5269,109248.60999999997,3673,1321.7
2024-02-01,800001,1-1578,圣诞树挂件,1200,3343.33,,20.0
2024-02-01,800001,1-9168,王者决胜战礼包III,219,11650.940000000002,219,3000.0
2024-02-01,800001,1-2301,红装备自选,3436,3575268.39,2302,25000.0
2024-02-01,800001,1-12024,风龙,1607,83661.15,1570,10000.0
2024-02-01,800001,1-12021,地龙,1546,62162.39000000001,1480,10000.0
2024-02-01,800001,1-12013,双足飞龙-火,884,7823.730000000001,727,2000.0
2024-02-01,800001,1-2520,暗系自选红装备（敏捷）,24,9035.4,24,25000.0
2024-02-01,800001,1-530505,突如其来的学妹,160,16379.610000000002,121,12800.0
2024-02-01,800001,1-12014,双足飞龙-风,780,8455.089999999998,676,2000.0
2024-02-01,800001,1-16004,情人节纪念（美杜莎）,377,39368.950000000004,,6400.0
2024-02-01,800001,1-9120,射箭补给包III,45,1586.9300000000003,45,1780.0
2024-02-01,800001,1-1553,洛阳铲,259437,230677.1800000001,240681,180.0
2024-02-01,800001,1-2578,风三角碎片自选,120030,191533.24000000005,119874,200.0
2024-02-01,800001,1-16010,情人节纪念（叶卡捷琳娜）,10,2415.43,,6400.0
2024-02-01,800001,1-9129,娃娃机补给包IV,5,344.68,5,3280.0
2024-02-01,800001,1-16001,来自叶卡捷琳娜的信件,1,0.0,,6400.0
2024-02-01,800001,1-1603,极意竞技入场卷,47365,29562.290000000008,10531,100.0
2024-02-01,800001,1-1402,2小时潜力水晶,198146,75164.09,259256,60.0
2024-02-01,800001,1-1510,使魔零食,706544056,1206320.2999999998,422443544,0.3
2024-02-01,800001,1-1113,招募券,635855,1393122.5499999998,613560,270.0
2024-02-01,800001,1-1119,概率UP招募券,22352,57741.56000000001,,300.0
2024-02-01,800001,1-2534,招募道具自选包2,15357,43599.00000000001,12627,500.0
2024-02-01,800001,1-1404,24小时潜力水晶,36053,243952.12999999995,32720,720.0
2024-02-01,800001,1-9124,航海补给包III,49,1851.7899999999997,49,1780.0
2024-02-01,800001,1-2002,光暗SSR猎人自选包,35,17311.57,39,20000.0
2024-02-01,800001,1-2201,红色徽章自选包,47,9378.750000000002,35,25000.0
2024-02-01,800001,1-2573,四元素领主龙自选包,36,54438.6,36,160000.0
2024-02-01,800001,1-1592,气球,4,146.72,16,800.0
2024-02-01,800001,1-2001,四种族SSR猎人自选包,56,11245.009999999998,50,10000.0
2024-02-01,800001,1-2507,资源自选包,19020,65960.07999999999,16616,550.0
2024-02-01,800001,1-2304,自选装备（紫+）,16,372.34000000000003,18,750.0
2024-02-01,800001,1-9128,娃娃机补给包III,23,512.86,23,1780.0
2024-02-01,800001,1-9140,守护活力包|V,247,6524.660000000001,247,2000.0
2024-02-01,800001,1-16024,情人节纪念（屋大维）,20,3443.04,,6400.0
2024-02-01,800001,1-16006,情人节纪念（玉藻前）,17,3797.65,,6400.0
2024-02-01,800001,1-1111,潜力水晶,2782775762,12951710.360000005,2588341880,0.8
2024-02-01,800001,1-1504,圣能结晶,2818345120,20357497.29000001,1966801160,1.0
2024-02-01,800001,1-1204,24小时塔拉币,406000,389146.33999999997,325224,120.0
2024-02-01,800001,1-1115,普通精钢,25205705,451737.82999999996,19085660,3.0
2024-02-01,800001,1-1543,天命乐章,846287082,2567015.2099999995,689283500,0.5
2024-02-01,800001,1-1616,2023圣诞节游戏币,75,1957.68,131,800.0
2024-02-01,800001,1-1512,锦标赛挑战券,4704,2341.0300000000007,4212,86.0
2024-02-01,800001,1-2545,相遇养成自选包,3490,13085.179999999997,2747,450.0
2024-02-01,800001,1-2576,振金装备自选包,1393,105603.10999999997,1288,7500.0
2024-02-01,800001,1-1597,使魔契约雕像抽奖券,2123,5151.720000000003,2018,300.0
2024-02-01,800001,1-9159,自选礼包,878,7696.880000000001,858,1020.0
2024-02-01,800001,1-9121,射箭补给包IV,9,891.54,9,3280.0
2024-02-01,800001,1-16019,情人节纪念（潘多拉）,26,5008.63,,6400.0
2024-02-01,800001,1-9162,王者争夺战礼包I,1324,3101.239999999997,1324,300.0
2024-02-01,800001,1-9165,王者争夺战礼包IV,85,6281.53,85,4500.0
2024-02-01,800001,1-2561,四元素自选红装备,1,5.3,3,25000.0
2024-02-01,800001,1-1117,扭蛋币,442833,793917.1,392381,300.0
2024-02-01,800001,1-1139,占卜卡,59394,184078.02000000005,53056,500.0
2024-02-01,800001,1-1126,地元素宝石,123693,73073.93,113200,100.0
2024-02-01,800001,1-16026,情人节纪念（大乔&小乔）,795,65307.53,,6400.0
2024-02-01,800001,1-1304,24小时历练值,2993,11212.610000000002,2533,480.0
2024-02-01,800001,1-2533,六元素巨龙自选包,123,225113.64,103,160000.0
2024-02-01,800001,1-11065,圣之种,880,1477.8,880,400.0
2024-02-01,800001,1-12042,冰海领主龙,10,10182.7,11,160000.0
2024-02-01,800001,1-12043,火蜥领主龙,25,30595.820000000003,25,160000.0
2024-02-01,800001,1-2101,红色武器自选包,233,19213.239999999998,206,25000.0
2024-02-01,800001,1-9127,娃娃机补给包II,32,1118.1499999999999,32,1460.0
2024-02-01,800001,1-16021,情人节纪念（罗宾汉）,79,4920.32,,6400.0
2024-02-01,800001,1-16031,情人节纪念（瑞吉蕾芙）,19,3063.8700000000003,,6400.0
2024-02-01,800001,1-2519,暗系自选红装备（力量）,24,3827.23,26,25000.0
2024-02-01,800001,1-1548,英雄挑战券,2809,31747.65999999999,2026,520.8333333
2024-02-01,800001,1-1620,情人节鲜花,9300975,17832187.390000008,8935935,100.0
2024-02-01,800001,1-1535,万能骰子,12296,9778.710000000006,14852,115.19
2024-02-01,800001,1-1133,高级挑战券,4898,3425.9500000000007,1851,100.0
2024-02-01,800001,1-1114,元素招募券,26313,113466.74,18979,540.0
2024-02-01,800001,1-1544,英雄之证,279663,713378.2699999999,217072,500.0
2024-02-01,800001,1-2518,光系自选红装备（智力）,65,18644.690000000002,66,25000.0
2024-02-01,800001,1-1559,龙的心脏,16325,114432.03,8610,1000.0
2024-02-01,800001,1-12034,凤羽龙,177,142250.87,181,80000.0
2024-02-01,800001,1-11066,冥之种,760,3203.51,760,400.0
2024-02-01,800001,1-2563,巨龙养成自选包,12170,30622.060000000005,9928,500.0
2024-02-01,800001,1-2104,红色鞋子自选包,209,18571.370000000003,168,25000.0
2024-02-01,800001,1-1552,银钥匙,5514,32785.21,5496,800.0
2024-02-01,800001,1-9139,守护活力包|||,423,4673.320000000001,423,1000.0
2024-02-01,800001,1-9130,连连看补给包I,609,3373.59,609,500.0
2024-02-01,800001,1-9164,王者争夺战礼包III,17,579.39,17,1800.0
2024-02-01,800001,1-1594,2023防晒乳,1250,269.4,1970,8.0
2024-02-01,800001,1-16005,情人节纪念（汉尼拔）,6,1603.48,,6400.0
2024-02-01,800001,1-1121,中级才能符文,1406924,635144.7700000005,900361,40.0
2024-02-01,800001,1-1202,2小时塔拉币,1063228,79320.61000000002,1201999,10.0
2024-02-01,800001,1-1123,猎龙精魂,12825285,195850.86000000022,12802244,2.8
2024-02-01,800001,1-1132,初级挑战券,55392,36192.98000000002,11648,100.0
2024-02-01,800001,1-11071,育成心得,396314192,2107980.3800000004,346146510,1.0
2024-02-01,800001,1-2530,资源自选包6,105541,369188.22000000003,86811,500.0
2024-02-01,800001,1-2502,猎人养成自选包,16672,19832.64,12109,200.0
2024-02-01,800001,1-12032,冰霜龙,125,74423.08,125,80000.0
2024-02-01,800001,1-2568,初级笔记自选包2,7629,139987.78000000003,7820,1200.0
2024-02-01,800001,1-1600,无念之书,172178,68576.82000000002,87137,50.0
2024-02-01,800001,1-9166,王者决胜战礼包I,153,3563.1599999999994,153,1500.0
2024-02-01,800001,1-12035,光耀龙,46,58128.31999999999,46,160000.0
2024-02-01,800001,1-1523,黑暗之羽,2521,1478.33,2165,80.0
2024-02-01,800001,1-2571,光暗亚龙自选包,142,16380.03,152,10000.0
2024-02-01,800001,1-1539,红绳,432199,159642.09,431099,39.25376489
2024-02-01,800001,1-1570,天空之羽,41799,9953.569999999998,36410,30.0
2024-02-01,800001,1-12041,古岩领主龙,3,12552.94,3,160000.0
