month,channel,item_id,item_name,item_add,core_cost
2024-02-01,800001,2-3030506,寒铁项链,4061,9766.680000000002
2024-02-01,800001,2-2040501,寒铁长靴,4071,9742.05
2024-02-01,800001,2-1020400,金刚铠甲,33849,56605.19000000002
2024-02-01,800001,2-3020503,寒铁长袍,4066,10619.349999999999
2024-02-01,800001,2-3020703,黄金长袍,566,3475.78
2024-02-01,800001,2-1010703,黄金战锤,549,3323.41
2024-02-01,800001,2-20201,初心者外套,79792,14170.259999999997
2024-02-01,800001,2-2030606,白银指环,1751,6878.82
2024-02-01,800001,2-1010602,白银战斧,1735,7587.960000000001
2024-02-01,800001,2-3020403,精力长袍,8390,14344.380000000003
2024-02-01,800001,2-1040402,金刚皮靴,8515,15063.100000000002
2024-02-01,800001,3-4402,宫本武藏碎片,97000,69074.28
2024-02-01,800001,2-3030504,寒铁项链,3996,9631.960000000001
2024-02-01,800001,2-1010803,白金战锤,104,1447.08
2024-02-01,800001,2-20403,理性皮靴,91840,92002.07000000002
2024-02-01,800001,2-3010605,白银法杖,1884,7824.650000000001
2024-02-01,800001,2-1030502,寒铁护腕,4033,10492.179999999998
2024-02-01,800001,2-3030704,黄金项链,583,4402.139999999999
2024-02-01,800001,2-10303,力量护腕,91426,91492.28000000001
2024-02-01,800001,3-2302,亚西比德碎片,5550700,86959.34999999998
2024-02-01,800001,2-3030501,寒铁项链,4072,10580.630000000001
2024-02-01,800001,2-3020702,黄金长袍,602,3357.809999999999
2024-02-01,800001,2-1030602,白银护腕,1749,7387.759999999998
2024-02-01,800001,2-3010400,精力法杖,33694,56765.88000000001
2024-02-01,800001,2-2020601,白银外套,1782,7191.96
2024-02-01,800001,2-3040801,白金长靴,96,1218.4800000000002
2024-02-01,800001,2-10202,忍耐铠甲,73290,38785.590000000004
2024-02-01,800001,2-1030401,金刚护腕,8349,14104.290000000003
2024-02-01,800001,3-4305,织田信长碎片,103500,74521.16
2024-02-01,800001,2-3030604,白银项链,1826,7288.26
2024-02-01,800001,3-14109,卑弥呼天命碎片,95673,131954.37000000002
2024-02-01,800001,2-3020402,精力长袍,8406,13108.730000000001
2024-02-01,800001,2-8041000,瑟银鞋子,853,159771.71999999997
2024-02-01,800001,3-14312,荆轲天命碎片,8550,11829.239999999998
2024-02-01,800001,2-3040502,寒铁布靴,3964,10105.33
2024-02-01,800001,2-3010800,白金法杖,391,3313.4200000000005
2024-02-01,800001,3-15101,克利奥帕特拉碎片,14385,26003.58
2024-02-01,800001,2-3010905,秘银法杖,94,24242.629999999997
2024-02-01,800001,2-2020502,寒铁外套,3957,9335.13
2024-02-01,800001,2-3020905,秘银长袍,69,16509.15
2024-02-01,800001,3-15302,潘多拉碎片,160557,378592.4799999999
2024-02-01,800001,2-1030901,秘银护腕,86,34712.39
2024-02-01,800001,2-3010700,黄金法杖,2201,16380.54
2024-02-01,800001,2-10201,新兵铠甲,79922,14152.639999999996
2024-02-01,800001,3-14209,甄姬天命碎片,100337,143999.00999999998
2024-02-01,800001,3-1550101,亚瑟元素体碎片,5900,18141.359999999997
2024-02-01,800001,2-1020600,白银铠甲,6974,28704.38
2024-02-01,800001,2-1020503,寒铁铠甲,4147,10062.890000000001
2024-02-01,800001,2-1040706,黄金战靴,529,3908.2700000000004
2024-02-01,800001,3-1560101,吕布元素体碎片,500,396.67
2024-02-01,800001,2-1020605,白银铠甲,1726,7477.620000000001
2024-02-01,800001,5-508,不屈徽章,971,8919.43
2024-02-01,800001,2-3040705,黄金长靴,543,3303.49
2024-02-01,800001,2-20203,理性外套,91446,91114.92
2024-02-01,800001,3-4601,司马懿碎片,61300,313318.5500000001
2024-02-01,800001,3-15102,海格力斯碎片,109095,179606.95999999996
2024-02-01,800001,2-2030904,秘银指环,74,23507.61
2024-02-01,800001,2-30102,元素法杖,73327,37922.329999999994
2024-02-01,800001,2-1040404,金刚皮靴,8533,14220.439999999999
2024-02-01,800001,3-14410,竹中半兵卫天命碎片,7054,9395.449999999999
2024-02-01,800001,2-2040906,秘银皮靴,51,9520.239999999998
2024-02-01,800001,2-3040404,精力布靴,8470,14292.48
2024-02-01,800001,3-15312,齐格飞碎片,315453,2984738.0799999996
2024-02-01,800001,3-15103,莫比乌斯碎片,80990,129520.19000000002
2024-02-01,800001,2-1010902,秘银战锤,113,42008.28000000001
2024-02-01,800001,2-3030602,白银项链,1847,7046.790000000001
2024-02-01,800001,3-15311,今川义元碎片,166438,1191513.2600000005
2024-02-01,800001,2-30402,元素布靴,73670,38428.83
2024-02-01,800001,3-15502,所罗门碎片,29900,126434.79
2024-02-01,800001,2-1030400,金刚护腕,34028,58322.86000000001
2024-02-01,800001,2-3020605,白银长袍,1787,6635.919999999999
2024-02-01,800001,2-2030406,灵动指环,8399,13874.919999999998
2024-02-01,800001,3-14504,瑞吉蕾芙天命碎片,741,419.01000000000005
2024-02-01,800001,3-3202,笛卡尔碎片,2159000,340949.89
2024-02-01,800001,2-1010705,黄金战锤,575,4074.82
2024-02-01,800001,2-1030904,秘银护腕,96,48141.15000000001
2024-02-01,800001,2-20402,消沉皮靴,73979,38728.919999999984
2024-02-01,800001,2-3020500,寒铁长袍,15939,39478.49
2024-02-01,800001,3-14214,[泳装]伊织萌天命碎片,17158,21252.230000000003
2024-02-01,800001,2-2030806,白金指环,107,1367.1899999999998
2024-02-01,800001,2-10401,新兵皮靴,80102,14098.239999999998
2024-02-01,800001,2-3040600,白银长靴,7159,29301.86
2024-02-01,800001,2-2040703,黄金皮靴,550,3542.6800000000003
2024-02-01,800001,3-400,SSR随机碎片,1391380,435739.6100000003
2024-02-01,800001,2-1040401,金刚皮靴,8432,13736.05
2024-02-01,800001,3-2102,陈宫碎片,5513900,86547.87
2024-02-01,800001,2-9021000,振金衣服,312,113602.19000000003
2024-02-01,800001,2-3040500,寒铁布靴,16358,40622.80999999999
2024-02-01,800001,3-15304,普罗米修斯碎片,232690,296326.71999999974
2024-02-01,800001,2-20102,消沉匕首,73510,38368.00999999999
2024-02-01,800001,2-1010801,白金战锤,94,1071.0600000000002
2024-02-01,800001,2-1010906,秘银战锤,96,25944.02
2024-02-01,800001,3-4206,罗慕路斯碎片,106400,80078.85
2024-02-01,800001,3-3101,贾诩碎片,2145300,322075.3099999999
2024-02-01,800001,2-2010805,白金匕首,105,997.4199999999998
2024-02-01,800001,3-15405,莫德雷德碎片,7776,14505.489999999998
2024-02-01,800001,2-2010402,灵动匕首,8550,14224.32
2024-02-01,800001,2-3040604,白银长靴,1822,8034.1100000000015
2024-02-01,800001,2-1030704,黄金护腕,553,4563.42
2024-02-01,800001,2-1010806,白金战锤,106,893.2400000000001
2024-02-01,800001,2-2030605,白银指环,1705,6969.909999999999
2024-02-01,800001,2-2040502,寒铁长靴,4033,9971.16
2024-02-01,800001,2-3020802,白金长袍,100,955.3899999999999
2024-02-01,800001,3-15410,巴巴托斯碎片,6357,65587.76
2024-02-01,800001,2-1040405,金刚皮靴,8423,14309.999999999996
2024-02-01,800001,2-1040601,白银战靴,1726,7146.050000000001
2024-02-01,800001,2-2010901,秘银匕首,98,22396.77
2024-02-01,800001,2-3020505,寒铁长袍,4053,10265.66
2024-02-01,800001,2-2030603,白银指环,1762,7399.740000000001
