month,channel,money,core_gain,core_cost,corecost_once,corecost_forever,corecost_play
2024-06-01,800100,95433800,83912962,79515343,46636925.73000001,22982824.87,9895596
2024-05-01,800100,121476400,143520958,112644397,64754323.95999998,35204466.02,12685613
2024-04-01,800100,126211200,99005327,99785054,58564806.47000001,33274910.79,7945344
2024-03-01,800100,97686900,87813235,80504394,45363492.27000001,27017504.32,8123095
2024-02-01,800100,130204140,95545129,103365567,61947233.18000001,33101097.2,8313837
2024-01-01,800100,121260200,147534526,120916439,62513884.43000001,46302720.90000001,12099799
